nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
Kantor Kepala Desa Randuagung,kantor_desa,"4,4",,,,,,,,https://www.google.com/maps/place/Kantor+Kepala+Desa+Randuagung/data=!4m7!3m6!1s0x2dd80079c7a8eec9:0x8b08a3106d6f173e!8m2!3d-7.1614252!4d112.6238112!16s%2Fg%2F1hm444tcc!19sChIJye6ox3kA2C0RPhdvbRCjCIs?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Desa Sekarkurung,kantor_desa,"4,5",,,,(031) 99102815,,,,https://www.google.com/maps/place/Kantor+Desa+Sekarkurung/data=!4m7!3m6!1s0x2e77ffe3000b63e5:0xf14d93cfc38c2d82!8m2!3d-7.1729684!4d112.6195156!16s%2Fg%2F11bc7tf6hz!19sChIJ5WMLAOP_dy4Rgi2Mw8-TTfE?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Desa Kembangan,kantor_desa,"3,9",,,,(031) 3953812,,,,https://www.google.com/maps/place/Kantor+Desa+Kembangan/data=!4m7!3m6!1s0x2e77ffd96e24679f:0xe82cea9a441ca514!8m2!3d-7.1690851!4d112.6156933!16s%2Fg%2F11cjj01jd9!19sChIJn2ckbtn_dy4RFKUcRJrqLOg?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Desa Yosowilangun,kantor_desa,"4,9",,,,(031) 3954052,,,,https://www.google.com/maps/place/Kantor+Desa+Yosowilangun/data=!4m7!3m6!1s0x2e77fe29614ea96d:0xe52acc5859d134b!8m2!3d-7.1475467!4d112.6159559!16s%2Fg%2F1pzxpz668!19sChIJbalOYSn-dy4RSxOdhcWsUg4?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Desa Giri,kantor_desa,"5,0",,,,(031) 03975595,,,,https://www.google.com/maps/place/Kantor+Desa+Giri/data=!4m7!3m6!1s0x2dd8017f603e375b:0xbe9f3005d50da10e!8m2!3d-7.1700859!4d112.6311734!16s%2Fg%2F11j20p6t92!19sChIJWzc-YH8B2C0RDqEN1QUwn74?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Kepala Desa Sukomulyo,kantor_desa,"4,6",,,,(031) 3951913,,,,https://www.google.com/maps/place/Kantor+Kepala+Desa+Sukomulyo/data=!4m7!3m6!1s0x2e77fe21ba98a48f:0x44be83340e1da14c!8m2!3d-7.1345045!4d112.6161709!16s%2Fg%2F11bwkgh0zm!19sChIJj6SYuiH-dy4RTKEdDjSDvkQ?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Desa Suci,kantor_desa,"3,8",,,,,,,,https://www.google.com/maps/place/Kantor+Desa+Suci/data=!4m7!3m6!1s0x2e77fe33f82a8713:0xb38de45331180c8b!8m2!3d-7.1497853!4d112.6017064!16s%2Fg%2F11sq_r76hs!19sChIJE4cq-DP-dy4RiwwYMVPkjbM?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Kepala Desa Ngargosari,kantor_desa,"3,6",,,,(031) 3974149,,,,https://www.google.com/maps/place/Kantor+Kepala+Desa+Ngargosari/data=!4m7!3m6!1s0x2dd8001a3a569733:0xff2ef2e79db0eff9!8m2!3d-7.1836268!4d112.636796!16s%2Fg%2F11bwfj_s0k!19sChIJM5dWOhoA2C0R-e-wnefyLv8?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kelurahan Grebek Kebomas,kantor_desa,"5,0",,,,0838-4989-4560,,,,https://www.google.com/maps/place/Kelurahan+Grebek+Kebomas/data=!4m7!3m6!1s0x2dd80079c6d65467:0x5e19ce6906acd545!8m2!3d-7.1613606!4d112.6239191!16s%2Fg%2F11cjbc5tpl!19sChIJZ1TWxnkA2C0RRdWsBmnOGV4?authuser=0&hl=id&rclk=1,2026-07-17 14:40
Kantor Desa Klangonan,kantor_desa,"4,7",,,,,,,,https://www.google.com/maps/place/Kantor+Desa+Klangonan/data=!4m7!3m6!1s0x2dd801165ab98eb1:0x84863db3bf291dad!8m2!3d-7.1697414!4d112.6273191!16s%2Fg%2F11g0ndd_v8!19sChIJsY65WhYB2C0RrR0pv7M9hoQ?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Sidorukun,kantor_desa,"4,4",,,,,,,,https://www.google.com/maps/place/Kantor+Desa+Sidorukun/data=!4m7!3m6!1s0x2dd80034ef8e7ee1:0xfe8a2d2a9025562d!8m2!3d-7.1734917!4d112.6654068!16s%2Fg%2F11c2kgsqnk!19sChIJ4X6O7zQA2C0RLVYlkCotiv4?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Sidomukti,kantor_desa,"3,6",,,,(031) 3975768,,,,https://www.google.com/maps/place/Kantor+Desa+Sidomukti/data=!4m7!3m6!1s0x2e77ffe40021fef3:0xaff56bda9d379459!8m2!3d-7.1742302!4d112.6340659!16s%2Fg%2F11btmql99y!19sChIJ8_4hAOT_dy4RWZQ3ndpr9a8?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Kepala Desa Pongangan,kantor_desa,"4,2",,,,(031) 3950733,,,,https://www.google.com/maps/place/Kantor+Kepala+Desa+Pongangan/data=!4m7!3m6!1s0x2e77fe3a93292f97:0xd7e72ed2fd2efad8!8m2!3d-7.14201!4d112.605918!16s%2Fg%2F1pzxdkl7n!19sChIJly8pkzr-dy4R2Pou_dIu59c?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Segoromadu,kantor_desa,"4,2",,,,(031) 3982778,,,,https://www.google.com/maps/place/Kantor+Desa+Segoromadu/data=!4m7!3m6!1s0x2dd80021ba220551:0x4997a2e22e6500e9!8m2!3d-7.188255!4d112.645591!16s%2Fg%2F11b6hpbk7z!19sChIJUQUiuiEA2C0R6QBlLuKil0k?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Kepala Desa Dahanrejo,kantor_desa,"4,1",,,,(031) 3952141,,,,https://www.google.com/maps/place/Kantor+Kepala+Desa+Dahanrejo/data=!4m7!3m6!1s0x2e77ffb0b45691f5:0x8a9efb1ab8411d38!8m2!3d-7.163242!4d112.5898951!16s%2Fg%2F11b6ss6t15!19sChIJ9ZFWtLD_dy4ROB1BuBr7noo?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Pemkab Gresik Desa Gapurosukolilo,kantor_desa,"3,3",,,,(031) 3983562,,,,https://www.google.com/maps/place/Pemkab+Gresik+Desa+Gapurosukolilo/data=!4m7!3m6!1s0x2dd800501d665657:0x2c2969d7f4a44a8b!8m2!3d-7.160715!4d112.656473!16s%2Fg%2F11b6dwfrdj!19sChIJV1ZmHVAA2C0Ri0qk9NdpKSw?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Bupati Gresik,kantor_desa,"4,3",,,,(031) 3952825,,,,https://www.google.com/maps/place/Kantor+Bupati+Gresik/data=!4m7!3m6!1s0x2dd8006965bc6695:0x5913826978b828af!8m2!3d-7.1708537!4d112.5996763!16s%2Fg%2F1hc3j118q!19sChIJlWa8ZWkA2C0Rryi4eGmCE1k?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Kebomas,kantor_desa,,,,,(031) 3972882,,,,https://www.google.com/maps/place/Kantor+Desa+Kebomas/data=!4m7!3m6!1s0x2e77ffe3ffffffff:0x28164a793625d80b!8m2!3d-7.1780287!4d112.6139055!16s%2Fg%2F11b6d934cb!19sChIJ_____-P_dy4RC9glNnlKFig?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Banjarsari,kantor_desa,"4,2",,,,(031) 7990941,,,,https://www.google.com/maps/place/Kantor+Desa+Banjarsari/data=!4m7!3m6!1s0x2e77ff9814da3223:0xa3b09119d2fc3206!8m2!3d-7.175783!4d112.5828296!16s%2Fg%2F11b6gcph15!19sChIJIzLaFJj_dy4RBjL80hmRsKM?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Balai Desa Randuagung,kantor_desa,"4,4",,,,0852-3043-6657,,,,https://www.google.com/maps/place/Balai+Desa+Randuagung/data=!4m7!3m6!1s0x2dd80079c6c60957:0xc75029f9b539912a!8m2!3d-7.1614725!4d112.6235935!16s%2Fg%2F11btt7br_4!19sChIJVwnGxnkA2C0RKpE5tfkpUMc?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Kramatinggil,kantor_desa,"5,0",4,,,(031) 3974460,,,,https://www.google.com/maps/place/Kantor+Desa+Kramatinggil/data=!4m7!3m6!1s0x2dd80037af35f705:0x40d6fc6783552785!8m2!3d-7.1728761!4d112.6580244!16s%2Fg%2F11cjh_b4v0!19sChIJBfc1rzcA2C0RhSdVg2f81kA?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Kelurahan Ngipik,kantor_desa,"4,7",6,,,(031) 3987596,,,,https://www.google.com/maps/place/Kantor+Kelurahan+Ngipik/data=!4m7!3m6!1s0x2dd8005d69cac597:0xbefe18034df21ff2!8m2!3d-7.1606734!4d112.6444613!16s%2Fg%2F11ckkxpv2m!19sChIJl8XKaV0A2C0R8h_yTQMY_r4?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Kecamatan Gresik,kantor_desa,"4,1",26,,,(031) 3981843,,,,https://www.google.com/maps/place/Kantor+Kecamatan+Gresik/data=!4m7!3m6!1s0x2dd8005cdd2d7189:0x593947ea3b602ae2!8m2!3d-7.1600383!4d112.6473376!16s%2Fg%2F11b6dxcljp!19sChIJiXEt3VwA2C0R4ipgO-pHOVk?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Kecamatan Kebomas,kantor_desa,"4,5",18,,,(031) 3981646,,,,https://www.google.com/maps/place/Kantor+Kecamatan+Kebomas/data=!4m7!3m6!1s0x2dd80197dbd23161:0x929d4387b7923825!8m2!3d-7.1674201!4d112.6381546!16s%2Fg%2F11t7h5xkr8!19sChIJYTHS25cB2C0RJTiSt4dDnZI?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Gapurosukolilo Gresik,kantor_desa,"5,0",1,,,,,,,https://www.google.com/maps/place/Kantor+Desa+Gapurosukolilo+Gresik/data=!4m7!3m6!1s0x2dd80151ae6ed173:0x9a7c96a6ae61a8ae!8m2!3d-7.1606584!4d112.6551145!16s%2Fg%2F11mv1wj95s!19sChIJc9FurlEB2C0RrqhhrqaWfJo?authuser=0&hl=id&rclk=1,2026-07-17 14:41
Kantor Desa Sukorejo Kecamatan Kebomas,kantor_desa,,,,,,,,,https://www.google.com/maps/place/Kantor+Desa+Sukorejo+Kecamatan+Kebomas/data=!4m7!3m6!1s0x2dd7fffbbaee8f05:0x60c353db6452bb3e!8m2!3d-7.192371!4d112.6353949!16s%2Fg%2F11sw4171qh!19sChIJBY_uuvv_1y0RPrtSZNtTw2A?authuser=0&hl=id&rclk=1,2026-07-17 14:42
Kantor Desa Karangkiring,kantor_desa,"4,7",3,,,(031) 3984954,,,,https://www.google.com/maps/place/Kantor+Desa+Karangkiring/data=!4m7!3m6!1s0x2dd8002a284c9e97:0x2ed268c164709951!8m2!3d-7.1885843!4d112.6617316!16s%2Fg%2F11f_j2w_0_!19sChIJl55MKCoA2C0RUZlwZMFo0i4?authuser=0&hl=id&rclk=1,2026-07-17 14:42
