nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
Masjid Agung Gresik,masjid,"4,7",2853,,,,,,,https://www.google.com/maps/place/Masjid+Agung+Gresik/data=!4m7!3m6!1s0x2dd8006f033fe32b:0x56a5bb7b4a4e2e9!8m2!3d-7.1666111!4d112.6139491!16s%2Fg%2F1hm4qy329!19sChIJK-M_A28A2C0R6eKktLdbagU?authuser=0&hl=id&rclk=1,2026-07-17 15:24
Masjid Jami' Gresik,masjid,"4,8",2179,,,,,,,https://www.google.com/maps/place/Masjid+Jami%27+Gresik/data=!4m7!3m6!1s0x2dd8005a74c24b85:0xbfb3742ddd866611!8m2!3d-7.1571135!4d112.6550344!16s%2Fg%2F11j1f__j45!19sChIJhUvCdFoA2C0REWaG3S10s78?authuser=0&hl=id&rclk=1,2026-07-17 15:24
Masjid Baitul Islah,masjid,"4,8",166,,,,,,,https://www.google.com/maps/place/Masjid+Baitul+Islah/data=!4m7!3m6!1s0x2e77ffcfbfd6e1b5:0x7855b902d509a60e!8m2!3d-7.162057!4d112.6063037!16s%2Fg%2F11b7gq4k_d!19sChIJteHWv8__dy4RDqYJ1QK5VXg?authuser=0&hl=id&rclk=1,2026-07-17 15:24
Masjid Al Khoory Faqih Usman Universitas Muhammadiyah Gresik,masjid,"4,8",172,,,0815-5301-4353,http://www.umg.ac.id/,,,https://www.google.com/maps/place/Masjid+Al+Khoory+Faqih+Usman+Universitas+Muhammadiyah+Gresik/data=!4m7!3m6!1s0x2e77ffd71519242d:0x8d75ec2711a4a6c!8m2!3d-7.1611315!4d112.6157702!16s%2Fg%2F11g9szqx5t!19sChIJLSQZFdf_dy4RbEoaccJe1wg?authuser=0&hl=id&rclk=1,2026-07-17 15:24
Masjid Al Khoory Faqih Oesman Gresik,masjid,"4,8",44,,,,https://faqihoesmanumg.id/,,,https://www.google.com/maps/place/Masjid+Al+Khoory+Faqih+Oesman+Gresik/data=!4m7!3m6!1s0x2e77fff7c60e9d17:0x23c470184ff505d3!8m2!3d-7.1615029!4d112.6155477!16s%2Fg%2F11k9s0k4b7!19sChIJF50Oxvf_dy4R0wX1TxhwxCM?authuser=0&hl=id&rclk=1,2026-07-17 15:24
Masjid KH Ahmad Dahlan,masjid,"4,8",2466,,,,,,,https://www.google.com/maps/place/Masjid+KH+Ahmad+Dahlan/data=!4m7!3m6!1s0x2e77ffa366b58fb1:0x122b83bafdb87b!8m2!3d-7.1701418!4d112.5827068!16s%2Fg%2F11fzc7ns78!19sChIJsY-1ZqP_dy4Re7j9uoMrEgA?authuser=0&hl=id&rclk=1,2026-07-17 15:25
Masjid Jami' At Taqwa,masjid,"5,0",2,,,,,,,https://www.google.com/maps/place/Masjid+Jami%27+At+Taqwa/data=!4m7!3m6!1s0x2e77ffdd1a94a647:0xc70ca7206d8d5b07!8m2!3d-7.1660371!4d112.608797!16s%2Fg%2F11sjph8dz3!19sChIJR6aUGt3_dy4RB1uNbSCnDMc?authuser=0&hl=id&rclk=1,2026-07-17 15:25
Masjid Bayt Al Jabbar,masjid,"4,7",40,,,,,,,https://www.google.com/maps/place/Masjid+Bayt+Al+Jabbar/data=!4m7!3m6!1s0x2e77ff604f39e7cb:0xa17fa4b4b12fe637!8m2!3d-7.1643976!4d112.6069293!16s%2Fg%2F11qp0ttk7l!19sChIJy-c5T2D_dy4RN-YvsbSkf6E?authuser=0&hl=id&rclk=1,2026-07-17 15:25
Masjid Rahmatullah Nusantara II,masjid,"5,0",52,,,,,,,https://www.google.com/maps/place/Masjid+Rahmatullah+Nusantara+II/data=!4m7!3m6!1s0x2e77ff4c658b2443:0x76249d88c4a14dff!8m2!3d-7.1568882!4d112.6159357!16s%2Fg%2F11v157xk10!19sChIJQySLZUz_dy4R_02hxIidJHY?authuser=0&hl=id&rclk=1,2026-07-17 15:25
Masjid Al Ikhlas Nusantara 1,masjid,"4,3",38,,,0812-3294-517,,,,https://www.google.com/maps/place/Masjid+Al+Ikhlas+Nusantara+1/data=!4m7!3m6!1s0x2e77ffd7b5059ae3:0x99c80a0e5cfae214!8m2!3d-7.1605314!4d112.6181905!16s%2Fg%2F11b76dymf6!19sChIJ45oFtdf_dy4RFOL6XA4KyJk?authuser=0&hl=id&rclk=1,2026-07-17 15:25
