nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
Pasar Krempyeng,pasar,"4,3",,,,,,,,https://www.google.com/maps/place/Pasar+Krempyeng/data=!4m7!3m6!1s0x2dd80058b603f999:0xf214d8ec06c4be6b!8m2!3d-7.152165!4d112.6501314!16s%2Fg%2F1hm1zrffk!19sChIJmfkDtlgA2C0Ra77EBuzYFPI?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Baru Gresik,pasar,"4,3",,,,0813-3059-1472,http://s.id/pasarbarugresik,,,https://www.google.com/maps/place/Pasar+Baru+Gresik/data=!4m7!3m6!1s0x2dd80058c9cbd2b9:0xe367bdc07e4d80d!8m2!3d-7.1520385!4d112.6505869!16s%2Fg%2F1hm2lqsdm!19sChIJudLLyVgA2C0RDdjkB9x7Ng4?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Sidomoro,pasar,"4,2",,,,,https://siskaperbapo.jatimprov.go.id/profilpasar/detail/69,,,https://www.google.com/maps/place/Pasar+Sidomoro/data=!4m7!3m6!1s0x2dd80038113f4bb7:0xb87b192f062d1fa2!8m2!3d-7.1717799!4d112.6546019!16s%2Fg%2F1hm2_jmmc!19sChIJt0s_ETgA2C0Roh8tBi8Ze7g?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Kota Gresik,pasar,"4,3",,,,,,,,https://www.google.com/maps/place/Pasar+Kota+Gresik/data=!4m7!3m6!1s0x2dd80100173b5dd5:0xdc8287e7ee9b1a91!8m2!3d-7.152965!4d112.652256!16s%2Fg%2F11yf6mnqmv!19sChIJ1V07FwAB2C0RkRqb7ueHgtw?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Giri (Pasar Pengkol Atas ),pasar,"4,3",,,,,,,,https://www.google.com/maps/place/Pasar+Giri+%28Pasar+Pengkol+Atas+%29/data=!4m7!3m6!1s0x2dd8006ceafb06bb:0xaccb26601d81c1eb!8m2!3d-7.170637!4d112.6364247!16s%2Fg%2F11f0klcsjq!19sChIJuwb76mwA2C0R68GBHWAmy6w?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Pagi GKB,pasar,"4,5",,,,,,,,https://www.google.com/maps/place/Pasar+Pagi+GKB/data=!4m7!3m6!1s0x2e77ffd497d6946b:0xba309d436eec1f29!8m2!3d-7.1540662!4d112.6147291!16s%2Fg%2F11f5hl1s3k!19sChIJa5TWl9T_dy4RKR_sbkOdMLo?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Jajanan Pasar Tradisional,pasar,"4,0",,,,,,,,https://www.google.com/maps/place/Jajanan+Pasar+Tradisional/data=!4m7!3m6!1s0x2e77ffc2bfab69b1:0x5cfcd9a4b1d4aa14!8m2!3d-7.1543213!4d112.6151266!16s%2Fg%2F11hyd2rm16!19sChIJsWmrv8L_dy4RFKrUsaTZ_Fw?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar PPS,pasar,"4,3",,,,,,,,https://www.google.com/maps/place/Pasar+PPS/data=!4m7!3m6!1s0x2e77fe35751590af:0x542dee97875ca2fe!8m2!3d-7.151456!4d112.5974185!16s%2Fg%2F11bx5tn7t_!19sChIJr5AVdTX-dy4R_qJch5fuLVQ?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Desa Kedanyang,pasar,"4,2",,,,,,,,https://www.google.com/maps/place/Pasar+Desa+Kedanyang/data=!4m7!3m6!1s0x2e77fffb6f35e0d1:0xa737309e2e6fb06a!8m2!3d-7.184693!4d112.6130622!16s%2Fg%2F11g6yn3cxr!19sChIJ0eA1b_v_dy4RarBvLp4wN6c?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Tempel Graha Bunder Asri,pasar,"3,5",,,,,,,,https://www.google.com/maps/place/Pasar+Tempel+Graha+Bunder+Asri/data=!4m7!3m6!1s0x2e77fff54d13358b:0xc7ae4d64ed158d77!8m2!3d-7.174018!4d112.6035219!16s%2Fg%2F11fjwzx_60!19sChIJizUTTfX_dy4Rd40V7WRNrsc?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Toko Rama dua Pasar Kota Gresik,pasar,"4,2",,,,0877-0288-9227,,,,https://www.google.com/maps/place/Toko+Rama+dua+Pasar+Kota+Gresik/data=!4m7!3m6!1s0x2dd80058e5ae9e9f:0xdf1014b5edc13441!8m2!3d-7.1529191!4d112.6522911!16s%2Fg%2F1hm2787wz!19sChIJn56u5VgA2C0RQTTB7bUUEN8?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar menganti,pasar,"4,4",,,,,,,,https://www.google.com/maps/place/Pasar+menganti/data=!4m7!3m6!1s0x2e7807d86c12df83:0xcca8082b7e8075ce!8m2!3d-7.2940184!4d112.5883427!16s%2Fg%2F11lq7ffdr1!19sChIJg98SbNgHeC4RznWAfisIqMw?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Toko Jamu Rengganis Randu Agung,pasar,"4,5",,,,,,,,https://www.google.com/maps/place/Toko+Jamu+Rengganis+Randu+Agung/data=!4m7!3m6!1s0x2dd8016f7b02414d:0xf38473262e16b1ae!8m2!3d-7.1628127!4d112.6216295!16s%2Fg%2F11hymnw0_q!19sChIJTUECe28B2C0RrrEWLiZzhPM?authuser=0&hl=id&rclk=1,2026-07-17 15:53
Pasar Manyar,pasar,"4,2",,,,,,,,https://www.google.com/maps/place/Pasar+Manyar/data=!4m7!3m6!1s0x2e77fe0ec6bd482f:0x9ce9d04ddc76522e!8m2!3d-7.1191924!4d112.6038817!16s%2Fg%2F11cmzhrxd9!19sChIJL0i9xg7-dy4RLlJ23E3Q6Zw?authuser=0&hl=id&rclk=1,2026-07-17 15:54
Pasar MUTIARA,pasar,"4,4",,,,,,,,https://www.google.com/maps/place/Pasar+MUTIARA/data=!4m7!3m6!1s0x2dd7fd43c8a7aaab:0x230853e29631934d!8m2!3d-7.3364777!4d112.6364775!16s%2Fg%2F11fy4jf1yj!19sChIJq6qnyEP91y0RTZMxluJTCCM?authuser=0&hl=id&rclk=1,2026-07-17 15:54
Pasar Tradisional Petiken Driyorejo,pasar,"4,3",,,,,,,,https://www.google.com/maps/place/Pasar+Tradisional+Petiken+Driyorejo/data=!4m7!3m6!1s0x2dd7fd5aec85324b:0x777dcd5e96222133!8m2!3d-7.3418234!4d112.6299577!16s%2Fg%2F11dzdvfmr9!19sChIJSzKF7Fr91y0RMyEill7NfXc?authuser=0&hl=id&rclk=1,2026-07-17 15:54
Toko Prima,pasar,"5,0",1,,,,,,,,2026-07-17 15:54
