nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
POLSEK Gresik Kota,polisi,,,,,,,,,https://www.google.com/maps/place/POLSEK+Gresik+Kota/data=!4m7!3m6!1s0x2dd8005723562d89:0xf36141b5d346d632!8m2!3d-7.1550687!4d112.6575967!16s%2Fg%2F1hm4r_ky8!19sChIJiS1WI1cA2C0RMtZG07VBYfM?authuser=0&hl=id&rclk=1,2026-07-17 15:32
POLSEK Kebomas - Gresik,polisi,,,,,(031) 3981644,,,,https://www.google.com/maps/place/POLSEK+Kebomas+-+Gresik/data=!4m7!3m6!1s0x2dd8006fc6eabe1b:0x84499a76e85a8d8f!8m2!3d-7.1639452!4d112.6340624!16s%2Fg%2F1thlwwcj!19sChIJG77qxm8A2C0Rj41a6HaaSYQ?authuser=0&hl=id&rclk=1,2026-07-17 15:32
SKCK Polres Gresik,polisi,,,,,0812-1662-6363,https://linktr.ee/skckgresik,,,https://www.google.com/maps/place/SKCK+Polres+Gresik/data=!4m7!3m6!1s0x2e77ffc4e66b3fad:0xebc6101bd6d4474f!8m2!3d-7.1669697!4d112.6093258!16s%2Fg%2F11hz8ckbwl!19sChIJrT9r5sT_dy4RT0fU1hsQxus?authuser=0&hl=id&rclk=1,2026-07-17 15:32
SATPAS SIM Gresik,polisi,"4,8",2714,,,,,,,https://www.google.com/maps/place/SATPAS+SIM+Gresik/data=!4m7!3m6!1s0x2dd80079d0d434b7:0x9f6c64db8f7a69ae!8m2!3d-7.1619562!4d112.6235718!16s%2Fg%2F11cjh_710s!19sChIJtzTU0HkA2C0Rrml6j9tkbJ8?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Satlantas Polres Gresik,polisi,,,,,(031) 3981556,,,,https://www.google.com/maps/place/Satlantas+Polres+Gresik/data=!4m7!3m6!1s0x2dd80079c3be3591:0x36252262eb22cfd5!8m2!3d-7.1614472!4d112.6240605!16s%2Fg%2F1pzywnqzc!19sChIJkTW-w3kA2C0R1c8i62IiJTY?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Pos Polisi GKB,polisi,,,,,,,,,https://www.google.com/maps/place/Pos+Polisi+GKB/data=!4m7!3m6!1s0x2e77ffd63a0c808f:0xb3fce8fa854a33fb!8m2!3d-7.1595238!4d112.6188292!16s%2Fg%2F11clsy6r1w!19sChIJj4AMOtb_dy4R-zNKhfro_LM?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Pos Polisi Tenger GKB (Giri Sakti),polisi,,,,,,,,,https://www.google.com/maps/place/Pos+Polisi+Tenger+GKB+%28Giri+Sakti%29/data=!4m7!3m6!1s0x2e77ff66864a931b:0x905fb82248fb3642!8m2!3d-7.136549!4d112.6171415!16s%2Fg%2F11p4z_blxk!19sChIJG5NKhmb_dy4RQjb7SCK4X5A?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Pos Polisi KIG,polisi,,,,,,,,,https://www.google.com/maps/place/Pos+Polisi+KIG/data=!4m7!3m6!1s0x2dd8010cc026fd27:0x6756c6a9f7c52f1b!8m2!3d-7.1459523!4d112.6259844!16s%2Fg%2F11p9n50_sc!19sChIJJ_0mwAwB2C0RGy_F96nGVmc?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Pos Satlantas Barata Polres Gresik,polisi,,,,,,,,,https://www.google.com/maps/place/Pos+Satlantas+Barata+Polres+Gresik/data=!4m7!3m6!1s0x2dd7ff8a857d21d1:0xbf74cff2385183bc!8m2!3d-7.1920923!4d112.6460951!16s%2Fg%2F11h5kmmkkq!19sChIJ0SF9hYr_1y0RvINROPLPdL8?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Pos Polisi Bunder,polisi,,,,,,,,,https://www.google.com/maps/place/Pos+Polisi+Bunder/data=!4m7!3m6!1s0x2e77ffbc9e1c16ab:0x7cf86cd4e4f0c2d0!8m2!3d-7.1694287!4d112.5859044!16s%2Fg%2F11f3nc76s5!19sChIJqxYcnrz_dy4R0MLw5NRs-Hw?authuser=0&hl=id&rclk=1,2026-07-17 15:32
POLSEK Manyar - Gresik,polisi,,,,,(031) 3951591,,,,https://www.google.com/maps/place/POLSEK+Manyar+-+Gresik/data=!4m7!3m6!1s0x2dd800858f05e3bb:0x8c251a17e78d00ca!8m2!3d-7.1221191!4d112.6039557!16s%2Fg%2F1thbgq9t!19sChIJu-MFj4UA2C0RygCN5xcaJYw?authuser=0&hl=id&rclk=1,2026-07-17 15:32
Pos Polisi Lalu Lintas Sidomoro,polisi,,,,,,,,,https://www.google.com/maps/place/Pos+Polisi+Lalu+Lintas+Sidomoro/data=!4m7!3m6!1s0x2dd800386626bf77:0xae60e8c1c66998e8!8m2!3d-7.1718779!4d112.6530795!16s%2Fg%2F11bzrnvfwr!19sChIJd78mZjgA2C0R6JhpxsHoYK4?authuser=0&hl=id&rclk=1,2026-07-17 15:33
Pos satlantas Bunder,polisi,"4,3",12,,,,,,,https://www.google.com/maps/place/Pos+satlantas+Bunder/data=!4m7!3m6!1s0x2e77ffbb611a8863:0x1397545874281afc!8m2!3d-7.1694081!4d112.5858568!16s%2Fg%2F11ggsl2j_b!19sChIJY4gaYbv_dy4R_BoodFhUlxM?authuser=0&hl=id&rclk=1,2026-07-17 15:33
Sentra Pelayanan Kepolisian Terpadu (SPKT) Gresik,polisi,,,,,,,,,https://www.google.com/maps/place/Sentra+Pelayanan+Kepolisian+Terpadu+%28SPKT%29+Gresik/data=!4m7!3m6!1s0x2dd8019b6d86ea79:0x6d0cd77c64cec5f1!8m2!3d-7.155062!4d112.6573551!16s%2Fg%2F11k9b61rnw!19sChIJeeqGbZsB2C0R8cXOZHzXDG0?authuser=0&hl=id&rclk=1,2026-07-17 15:33
SAMSAT Gresik,polisi,"3,9",2008,,,(031) 3955170,https://samsatgresik.dipendajatim.go.id/web/,,,https://www.google.com/maps/place/SAMSAT+Gresik/data=!4m7!3m6!1s0x2dd80069166beed1:0x83dd7b9f19d80598!8m2!3d-7.1665868!4d112.6041861!16s%2Fg%2F1hm2fcxc_!19sChIJ0e5rFmkA2C0RmAXYGZ973YM?authuser=0&hl=id&rclk=1,2026-07-17 15:33
Pos Polisi Legundi Driyorejo,polisi,"2,9",40,,,,,,,https://www.google.com/maps/place/Pos+Polisi+Legundi+Driyorejo/data=!4m7!3m6!1s0x2e780859a5cdd8dd:0xb45932b34634e051!8m2!3d-7.3843858!4d112.5760444!16s%2Fg%2F11csqhbxv3!19sChIJ3djNpVkIeC4RUeA0RrMyWbQ?authuser=0&hl=id&rclk=1,2026-07-17 15:33
Kursus Mengemudi Expert,polisi,"5,0",156,,,,https://www.instagram.com/expertgresik/,,,https://www.google.com/maps/place/Kursus+Mengemudi+Expert/data=!4m7!3m6!1s0x2e77fff9aba5369f:0xbc4b4ae76cc169f5!8m2!3d-7.1590822!4d112.6185521!16s%2Fg%2F11lwkz3_pq!19sChIJnzalq_n_dy4R9WnBbOdKS7w?authuser=0&hl=id&rclk=1,2026-07-17 15:33
