nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
Rumah Sakit Semen Gresik,rumah_sakit,"4,8",,,,(031) 3987840,http://www.rssemengresik.com/,,,https://www.google.com/maps/place/Rumah+Sakit+Semen+Gresik/data=!4m7!3m6!1s0x2dd800699266bab5:0xb832020d32181f77!8m2!3d-7.1661252!4d112.6423254!16s%2Fg%2F1tdrzms2!19sChIJtbpmkmkA2C0Rdx8YMg0CMrg?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Rumah Sakit Petrokimia Gresik,rumah_sakit,"4,8",,,,(031) 3978658,http://www.rspetrokimiagresik.com/,,,https://www.google.com/maps/place/Rumah+Sakit+Petrokimia+Gresik/data=!4m7!3m6!1s0x2dd8006786a9e931:0x4fbd6a3d061e26d0!8m2!3d-7.1593072!4d112.6433279!16s%2Fg%2F1tf92368!19sChIJMemphmcA2C0R0CYeBj1qvU8?authuser=0&hl=id&rclk=1,2026-07-17 14:12
RSUD Ibnu Sina Gresik,rumah_sakit,"4,2",,,,(031) 3951239,http://rsudibnusina.gresikkab.go.id/,,,https://www.google.com/maps/place/RSUD+Ibnu+Sina+Gresik/data=!4m7!3m6!1s0x2e77ffb927e04e01:0xa6d285a537dbb76c!8m2!3d-7.1680435!4d112.6009188!16s%2Fg%2F11dyh_s1q!19sChIJAU7gJ7n_dy4RbLfbN6WF0qY?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Rumah Sakit Muhammadiyah Gresik,rumah_sakit,"4,7",,,,(031) 3981275,,,,https://www.google.com/maps/place/Rumah+Sakit+Muhammadiyah+Gresik/data=!4m7!3m6!1s0x2dd800f7f816b29f:0xaee3520246294c9!8m2!3d-7.1506013!4d112.6548632!16s%2Fg%2F1tdnhjw9!19sChIJn7IW-PcA2C0RyZRiJCA17go?authuser=0&hl=id&rclk=1,2026-07-17 14:12
RSU Denisa Gresik,rumah_sakit,"4,8",,,,(031) 3950552,https://linktr.ee/RSDenisaGresik,,,https://www.google.com/maps/place/RSU+Denisa+Gresik/data=!4m7!3m6!1s0x2e77ffc73dd7938d:0xb948dfd915f81a36!8m2!3d-7.167659!4d112.597896!16s%2Fg%2F1hm41q_wb!19sChIJjZPXPcf_dy4RNhr4FdnfSLk?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Rumah Sakit Grha Husada,rumah_sakit,"4,6",,,,0821-3117-7207,https://rsgrhahusada.com/,,,https://www.google.com/maps/place/Rumah+Sakit+Grha+Husada/data=!4m7!3m6!1s0x2dd8005e53c4e819:0xa73af0845e0e3e58!8m2!3d-7.1539938!4d112.6462823!16s%2Fg%2F1pzpxspfv!19sChIJGejEU14A2C0RWD4OXoTwOqc?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Rumah Sakit Islam Nyai Ageng Pinatih,rumah_sakit,"4,9",,,,(031) 3981167,http://rsinyaiagengpinatih.com/,,,https://www.google.com/maps/place/Rumah+Sakit+Islam+Nyai+Ageng+Pinatih/data=!4m7!3m6!1s0x2dd8005bcbec7d23:0x64e1b30acf8f5178!8m2!3d-7.1568165!4d112.6521523!16s%2Fg%2F1hm5j2rm5!19sChIJI33sy1sA2C0ReFGPzwqz4WQ?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Rumah Sakit Umum Rachmi Dewi,rumah_sakit,"4,4",,,,(031) 3957448,http://www.rsurachmidewi.com/,,,https://www.google.com/maps/place/Rumah+Sakit+Umum+Rachmi+Dewi/data=!4m7!3m6!1s0x2e77fe2c8f6557d5:0xe7ae6ed0f11d5a5f!8m2!3d-7.150841!4d112.613114!16s%2Fg%2F11b6hxx1y8!19sChIJ1Vdljyz-dy4RX1od8dBuruc?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Petro Graha Medika,rumah_sakit,"4,5",,,,(031) 3978658,http://petrograhamedika.com/,,,https://www.google.com/maps/place/Petro+Graha+Medika/data=!4m7!3m6!1s0x2dd8006719f3f02f:0xe2cc583353b52ac4!8m2!3d-7.1593821!4d112.6433108!16s%2Fg%2F11bc7qpmq6!19sChIJL_DzGWcA2C0RxCq1UzNYzOI?authuser=0&hl=id&rclk=1,2026-07-17 14:12
KMU Gresik Pusat,rumah_sakit,"4,0",,,,0822-3205-3333,,,,https://www.google.com/maps/place/KMU+Gresik+Pusat/data=!4m7!3m6!1s0x2e77fff3305ab1cf:0x98e365f86ced64c0!8m2!3d-7.1565137!4d112.6152372!16s%2Fg%2F11gw3b6jr2!19sChIJz7FaMPP_dy4RwGTtbPhl45g?authuser=0&hl=id&rclk=1,2026-07-17 14:12
UGD RS Petrokimia Gresik,rumah_sakit,"4,2",,,,(031) 3978658,http://www.rspetrokimiagresik.com/,,,https://www.google.com/maps/place/UGD+RS+Petrokimia+Gresik/data=!4m7!3m6!1s0x2dd8006782b0db63:0xac127ec91b28d84f!8m2!3d-7.1590135!4d112.6430245!16s%2Fg%2F11cp09rwgx!19sChIJY9uwgmcA2C0RT9goG8l-Eqw?authuser=0&hl=id&rclk=1,2026-07-17 14:12
Rumah Sakit Fathma Medika Gresik,rumah_sakit,"4,3",,,,(031) 3943500,,,,https://www.google.com/maps/place/Rumah+Sakit+Fathma+Medika+Gresik/data=!4m7!3m6!1s0x2e77fdaa9fbbe831:0xc0c9694e9684779e!8m2!3d-7.0746405!4d112.5740689!16s%2Fg%2F1hm5y_dtt!19sChIJMei7n6r9dy4RnneElk5pycA?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Klinik PPK I PT Petrokimia Gresik,rumah_sakit,"4,3",,,,0813-3653-9994,https://www.instagram.com/klinik_petrokimiagresik?igsh=MXhoNjlwZG56cXB4OA==,,,https://www.google.com/maps/place/Klinik+PPK+I+PT+Petrokimia+Gresik/data=!4m7!3m6!1s0x2dd800676eecf2c9:0x2fd40ae4f44e1808!8m2!3d-7.1580445!4d112.6416154!16s%2Fg%2F11g6nktgq_!19sChIJyfLsbmcA2C0RCBhO9OQK1C8?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Klinik Satelit Kalimantan,rumah_sakit,"4,1",,,,0822-2667-4040,http://www.rspetrokimiagresik.com/,,,https://www.google.com/maps/place/Klinik+Satelit+Kalimantan/data=!4m7!3m6!1s0x2e77fe272a9d31e3:0xaee337c68e4ea400!8m2!3d-7.137846!4d112.6167968!16s%2Fg%2F11b6gddv0c!19sChIJ4zGdKif-dy4RAKROjsY3464?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Klinik Mata KMU Gresik,rumah_sakit,"4,9",,,,0851-8862-9923,https://kmu.id/hospitals/kmu-gresik/,,,https://www.google.com/maps/place/Klinik+Mata+KMU+Gresik/data=!4m7!3m6!1s0x2e77ffd4388dc3a1:0xd093222516694d31!8m2!3d-7.1566001!4d112.6152261!16s%2Fg%2F1pzqvbh1k!19sChIJocONONT_dy4RMU1pFiUik9A?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Klinik RS Semen Gresik Veteran,rumah_sakit,"4,8",,,,(031) 3987840,,,,https://www.google.com/maps/place/Klinik+RS+Semen+Gresik+Veteran/data=!4m7!3m6!1s0x2dd80041aa7a9841:0x5a179b2f9d021266!8m2!3d-7.180137!4d112.6497477!16s%2Fg%2F11bc7qcl7r!19sChIJQZh6qkEA2C0RZhICnS-bF1o?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Rumah vaksin Rssg Gresik,rumah_sakit,"4,7",,,,0831-4327-6095,http://ciptanirmala.com/daftarvaksin/,,,https://www.google.com/maps/place/Rumah+vaksin+Rssg+Gresik/data=!4m7!3m6!1s0x2dd801fd88c07fad:0x9dd2e6c0f7afbed3!8m2!3d-7.1656875!4d112.6438125!16s%2Fg%2F11rx3sv40t!19sChIJrX_AiP0B2C0R076v98Dm0p0?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Klinik Ciptamedika Wahidin,rumah_sakit,"4,3",,,,(031) 3989192,http://www.ciptamedika.co.id/,,,https://www.google.com/maps/place/Klinik+Ciptamedika+Wahidin/data=!4m7!3m6!1s0x2dd800785d7e1079:0x59d86806ee0bc02a!8m2!3d-7.1605103!4d112.6208176!16s%2Fg%2F11c30vtn2g!19sChIJeRB-XXgA2C0RKsAL7gZo2Fk?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Rumah Sakit Bayt Al-Musaadah,rumah_sakit,"5,0",,,,,,,,https://www.google.com/maps/place/Rumah+Sakit+Bayt+Al-Musaadah/data=!4m7!3m6!1s0x2e77ff712c16ca0f:0x1596852f917463ed!8m2!3d-7.1537264!4d112.6000705!16s%2Fg%2F11l37b6h77!19sChIJD8oWLHH_dy4R7WN0kS-FlhU?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Klinik Pratama Selviana,rumah_sakit,"4,7",,,,0813-8742-0747,,,,https://www.google.com/maps/place/Klinik+Pratama+Selviana/data=!4m7!3m6!1s0x2dd801ebd9854cff:0xad39a003364f84ba!8m2!3d-7.1775281!4d112.6533865!16s%2Fg%2F11k1f6crsz!19sChIJ_0yF2esB2C0RuoRPNgOgOa0?authuser=0&hl=id&rclk=1,2026-07-17 14:13
Lobby Paviliun RSUD Ibnu Sina,rumah_sakit,"5,0",2,,,,,,,https://www.google.com/maps/place/Lobby+Paviliun+RSUD+Ibnu+Sina/data=!4m7!3m6!1s0x2e77ff872ec9e23f:0x81041661c9515132!8m2!3d-7.1679059!4d112.6003157!16s%2Fg%2F11fpsd2s6n!19sChIJP-LJLof_dy4RMlFRyWEWBIE?authuser=0&hl=id&rclk=1,2026-07-17 14:13
