nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
SMP NEGERI 4 GRESIK,sekolah_menengah,,,,,(031) 3981159,http://smpn4gresik.sch.id/,,,https://www.google.com/maps/place/SMP+NEGERI+4+GRESIK/data=!4m7!3m6!1s0x2dd80042c45fe3cb:0xc45f0796bb047ed3!8m2!3d-7.1619977!4d112.6462797!16s%2Fg%2F1pzpv_qdk!19sChIJy-NfxEIA2C0R034Eu5YHX8Q?authuser=0&hl=id&rclk=1,2026-07-17 14:31
SMP Negeri 1 Gresik,sekolah_menengah,,,,,(031) 3976530,https://www.instagram.com/spensagres,,,https://www.google.com/maps/place/SMP+Negeri+1+Gresik/data=!4m7!3m6!1s0x2dd8005cc93f0253:0x112b11f919cbc8e1!8m2!3d-7.1618958!4d112.6529135!16s%2Fg%2F121zcds3!19sChIJUwI_yVwA2C0R4cjLGfkRKxE?authuser=0&hl=id&rclk=1,2026-07-17 14:31
UPT SMP Negeri 3 Gresik,sekolah_menengah,,,,,(031) 3983789,,,,https://www.google.com/maps/place/UPT+SMP+Negeri+3+Gresik/data=!4m7!3m6!1s0x2dd8004579e2ef0f:0x22f4ede551dc78aa!8m2!3d-7.1678387!4d112.6539216!16s%2Fg%2F1tj5b1_f!19sChIJD-_ieUUA2C0RqnjcUeXt9CI?authuser=0&hl=id&rclk=1,2026-07-17 14:32
UPT SMPN 22 GRESIK,sekolah_menengah,,,,,,https://uptsmpn22gresik.sch.id/,,,https://www.google.com/maps/place/UPT+SMPN+22+GRESIK/data=!4m7!3m6!1s0x2e77ff00dea4eab3:0xa5789b24a325c108!8m2!3d-7.161463!4d112.618589!16s%2Fg%2F11j6_fdz06!19sChIJs-qk3gD_dy4RCMEloySbeKU?authuser=0&hl=id&rclk=1,2026-07-17 14:32
UPT SMP Negeri 2 Gresik,sekolah_menengah,,,,,(031) 3982712,,,,https://www.google.com/maps/place/UPT+SMP+Negeri+2+Gresik/data=!4m7!3m6!1s0x2dd8005705b0b12b:0x1e4cd36cec21004!8m2!3d-7.1534327!4d112.6581509!16s%2Fg%2F1hm2msnc6!19sChIJK7GwBVcA2C0RBBDCzjbN5AE?authuser=0&hl=id&rclk=1,2026-07-17 14:32
Upt Smp Negeri 20 Gresik,sekolah_menengah,,,,,,,,,https://www.google.com/maps/place/Upt+Smp+Negeri+20+Gresik/data=!4m7!3m6!1s0x2dd8000107680257:0x54c7bf730dcf412e!8m2!3d-7.177209!4d112.6230406!16s%2Fg%2F11rwwdw02z!19sChIJVwJoBwEA2C0RLkHPDXO_x1Q?authuser=0&hl=id&rclk=1,2026-07-17 14:32
UPT SMP NEGERI 17 GRESIK,sekolah_menengah,,,,,(031) 3954476,http://osissmpn17gresik.blogspot.com/,,,https://www.google.com/maps/place/UPT+SMP+NEGERI+17+GRESIK/data=!4m7!3m6!1s0x2e77ff7d2811bf41:0x747bd27c3dd00b3e!8m2!3d-7.1401889!4d112.6162111!16s%2Fg%2F11n5s0ql_l!19sChIJQb8RKH3_dy4RPgvQPXzSe3Q?authuser=0&hl=id&rclk=1,2026-07-17 14:32
SMP n 1 gresik,sekolah_menengah,,,,,,,,,https://www.google.com/maps/place/SMP+n+1+gresik/data=!4m7!3m6!1s0x2dd801002913ceed:0xf1bee3ffb26a0671!8m2!3d-7.16449!4d112.6439083!16s%2Fg%2F11vz8s70fr!19sChIJ7c4TKQAB2C0RcQZqsv_jvvE?authuser=0&hl=id&rclk=1,2026-07-17 14:32
UPT SMP NEGERI 24 GRESIK,sekolah_menengah,,,,,(031) 7993938,https://upt.smpn24gresik.sch.id/,,,https://www.google.com/maps/place/UPT+SMP+NEGERI+24+GRESIK/data=!4m7!3m6!1s0x2e780196507846ab:0xef044db36aaac44d!8m2!3d-7.2240427!4d112.540909!16s%2Fg%2F1hm1sb1vr!19sChIJq0Z4UJYBeC4RTcSqarNNBO8?authuser=0&hl=id&rclk=1,2026-07-17 14:32
SMP Semen Gresik,sekolah_menengah,,,,,(031) 3970933,http://www.smpsemengresik.sch.id/,,,https://www.google.com/maps/place/SMP+Semen+Gresik/data=!4m7!3m6!1s0x2dd8003c8920011d:0xce33d3848e6ad635!8m2!3d-7.1790327!4d112.6485769!16s%2Fg%2F1hm681bvw!19sChIJHQEgiTwA2C0RNdZqjoTTM84?authuser=0&hl=id&rclk=1,2026-07-17 14:32
SMP Negeri 4 Gresik,sekolah_menengah,,,,,,,,,https://www.google.com/maps/place/SMP+Negeri+4+Gresik/data=!4m7!3m6!1s0x2dd801003660ca37:0xacb5211cf98bd8a7!8m2!3d-7.153492!4d112.649789!16s%2Fg%2F11w3bml6d6!19sChIJN8pgNgAB2C0Rp9iL-Rwhtaw?authuser=0&hl=id&rclk=1,2026-07-17 14:32
UPT SMP Negeri 34 Gresik,sekolah_menengah,,,,,,,,,https://www.google.com/maps/place/UPT+SMP+Negeri+34+Gresik/data=!4m7!3m6!1s0x2e77ff30ae7c5df3:0x386da338dfc531e2!8m2!3d-7.148537!4d112.594567!16s%2Fg%2F11rwnbx97q!19sChIJ8118rjD_dy4R4jHF3zijbTg?authuser=0&hl=id&rclk=1,2026-07-17 14:32
SMPN 5 Gresik,sekolah_menengah,,,,,(031) 7990030,http://www.uptsmpn5gresik.sch.id/,,,https://www.google.com/maps/place/SMPN+5+Gresik/data=!4m7!3m6!1s0x2e7801a99576f0e9:0xb7515324b56833f5!8m2!3d-7.234619!4d112.5648917!16s%2Fg%2F1hm3z1j2w!19sChIJ6fB2lakBeC4R9TNotSRTUbc?authuser=0&hl=id&rclk=1,2026-07-17 14:32
SMP Muhammadiyah 12 GKB Gresik,sekolah_menengah,,,,,(031) 3952021,http://smpm12gkb.sch.id/,,,https://www.google.com/maps/place/SMP+Muhammadiyah+12+GKB+Gresik/data=!4m7!3m6!1s0x2e77fe2b6fc93d41:0xc5a73cdbbbf87c!8m2!3d-7.1510574!4d112.6147385!16s%2Fg%2F1hm34wvx0!19sChIJQT3Jbyv-dy4RfPi72zynxQA?authuser=0&hl=id&rclk=1,2026-07-17 14:32
SMP NU 1 Gresik,sekolah_menengah,,,,,(031) 3972703,,,,https://www.google.com/maps/place/SMP+NU+1+Gresik/data=!4m7!3m6!1s0x2dd8005867667c1f:0xc59e473baf7ae8c1!8m2!3d-7.1521119!4d112.6531648!16s%2Fg%2F1hm3lgddf!19sChIJH3xmZ1gA2C0Rweh6rztHnsU?authuser=0&hl=id&rclk=1,2026-07-17 14:33
Dinas Pendidikan Kabupaten Gresik,sekolah_menengah,"4,1",,,,(031) 3981315,http://dispendik.gresikkab.go.id/,,,https://www.google.com/maps/place/Dinas+Pendidikan+Kabupaten+Gresik/data=!4m7!3m6!1s0x2dd800415562ec3d:0x90315163f1c74b13!8m2!3d-7.1677694!4d112.6531826!16s%2Fg%2F1hc0zq6bm!19sChIJPexiVUEA2C0RE0vH8WNRMZA?authuser=0&hl=id&rclk=1,2026-07-17 14:33
