judul,tanggal,topik,sumber,tipe,ringkasan,url,waktu_scrape
"detikJatimKamis, 03 Sep 2026 07:48 WIB Fakta-fakta Damkar Gresik Pungli Biaya Ganti Air Rp 150 Ribu ke Warga Petugas Damkar Gresik meminta Rp 150 ribu untuk penanganan kebakaran. Wabup Gresik menegaskan layanan pemadaman kebakaran gratis.",03 Sep 2026,Umum,Detik - Gresik,nasional,Petugas Damkar Gresik meminta Rp 150 ribu untuk penanganan kebakaran. Wabup Gresik menegaskan layanan pemadaman kebakaran gratis.,https://www.detik.com/jatim/berita/d-8646022/fakta-fakta-damkar-gresik-pungli-biaya-ganti-air-rp-150-ribu-ke-warga,2026-09-03 13:14
"detikJatimKamis, 03 Sep 2026 07:00 WIB Heboh Damkar Gresik Minta Biaya Ganti Air Rp 150 Ribu ke Warga Warga Gresik keluhkan permintaan biaya Rp 150 ribu oleh Damkar setelah kebakaran. Wakil Bupati menegaskan layanan pemadaman gratis dan akan selidiki dugaan ini.",03 Sep 2026,Politik & Pemda,Detik - Gresik,nasional,Warga Gresik keluhkan permintaan biaya Rp 150 ribu oleh Damkar setelah kebakaran. Wakil Bupati menegaskan layanan pemadaman gratis dan akan selidiki dugaan ini.,https://www.detik.com/jatim/berita/d-8645387/heboh-damkar-gresik-minta-biaya-ganti-air-rp-150-ribu-ke-warga,2026-09-03 13:14
"detikJatimRabu, 02 Sep 2026 21:10 WIB Brak! Agya Lompat Lawan Arah hingga Terbalik Lalu Tabrak Motor di Gresik Kecelakaan di Tol KLBM Gresik melibatkan Toyota Agya dan sepeda motor. Pengemudi mobil selamat, sementara penumpang motor mengalami luka parah.",02 Sep 2026,Infrastruktur,Detik - Gresik,nasional,"Kecelakaan di Tol KLBM Gresik melibatkan Toyota Agya dan sepeda motor. Pengemudi mobil selamat, sementara penumpang motor mengalami luka parah.",https://www.detik.com/jatim/berita/d-8645837/brak-agya-lompat-lawan-arah-hingga-terbalik-lalu-tabrak-motor-di-gresik,2026-09-03 13:14
"detikJatimRabu, 02 Sep 2026 20:23 WIB Pemotor Pamer Alat Kelamin Resahkan Warga Cerme Gresik Warga Cerme, Gresik resah akibat pengendara motor yang pamer alat kelamin. Polisi mulai menyelidiki setelah video kejadian viral di media sosial.",02 Sep 2026,Keamanan & Hukum,Detik - Gresik,nasional,"Warga Cerme, Gresik resah akibat pengendara motor yang pamer alat kelamin. Polisi mulai menyelidiki setelah video kejadian viral di media sosial.",https://www.detik.com/jatim/berita/d-8645776/pemotor-pamer-alat-kelamin-resahkan-warga-cerme-gresik,2026-09-03 13:14
"detikJatimRabu, 02 Sep 2026 18:30 WIB Pemkab Gresik Siapkan Pelebaran Jalan Jelang Pembangunan Flyover Cerme Pemkab Gresik siapkan pelebaran jalan di Cerme untuk mendukung pembangunan flyover. Proses perencanaan dan identifikasi lahan masih berlangsung.",02 Sep 2026,Infrastruktur,Detik - Gresik,nasional,Pemkab Gresik siapkan pelebaran jalan di Cerme untuk mendukung pembangunan flyover. Proses perencanaan dan identifikasi lahan masih berlangsung.,https://www.detik.com/jatim/berita/d-8645461/pemkab-gresik-siapkan-pelebaran-jalan-jelang-pembangunan-flyover-cerme,2026-09-03 13:14
"detikJatimRabu, 02 Sep 2026 17:00 WIB 65 Desa di Gresik Terancam Kekeringan, 135 Ribu Jiwa Terdampak 65 desa di Gresik terancam kekeringan, mempengaruhi 135.619 jiwa. BPBD gencarkan distribusi air bersih untuk mengatasi krisis saat musim kemarau.",02 Sep 2026,Umum,Detik - Gresik,nasional,"65 desa di Gresik terancam kekeringan, mempengaruhi 135.619 jiwa. BPBD gencarkan distribusi air bersih untuk mengatasi krisis saat musim kemarau.",https://www.detik.com/jatim/berita/d-8645315/65-desa-di-gresik-terancam-kekeringan-135-ribu-jiwa-terdampak,2026-09-03 13:14
Melihat Kemeriahan Gresik Merdeka Karnival,-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8639894/melihat-kemeriahan-gresik-merdeka-karnival,2026-09-03 13:14
"Potret Semarak Gresik Merdeka Karnival, Diserbu Ribuan Warga",-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8639857/potret-semarak-gresik-merdeka-karnival-diserbu-ribuan-warga,2026-09-03 13:14
"Waduk di Gresik Surut, Anak-anak Manfaatkan Kubangan untuk Berburu Ikan",-,Lingkungan,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8631079/waduk-di-gresik-surut-anak-anak-manfaatkan-kubangan-untuk-berburu-ikan,2026-09-03 13:14
Lahan Pertanian Gresik Hadapi Ancaman Kekeringan,-,Lingkungan,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8616811/lahan-pertanian-gresik-hadapi-ancaman-kekeringan,2026-09-03 13:14
