Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,sentimen,sentimen_score
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Trobel Boiz,3,2026-06-01T08:46:16.599Z,Identitas,identitas,identitas,identitas,Positif,0.4598
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,mbakeditalay selamanya,1,2026-02-05T21:24:37.272Z,"Saya mau urus pembaharuan KK dan pembaharuan akta nikah Kristen kantor kosong g sedang di bangun trus ketemu pegawai nya duduk2 ngerokok berseragam katanya sudah pindah ke kantor desa masing2, saya di lempar sana sini sana sini sampe bingung ,saya pendatang di Gresik sini.",saya mau urus pembaharuan kk dan pembaharuan akta nikah kristen kantor kosong g sedang di bangun trus ketemu pegawai nya duduk2 ngerokok berseragam katanya sudah pindah ke kantor desa masing2 saya di lempar sana sini sana sini sampe bingung saya pendatang di gresik sini,saya mau urus pembaharuan kk dan pembaharuan akta nikah kristen kantor kosong g sedang di bangun trus ketemu pegawai nya duduk2 ngerokok berseragam katanya sudah pindah ke kantor desa masing2 saya di lempar sana sini sana sini sampe bingung saya pendatang di gresik sini,mau urus pembaharuan kk pembaharuan akta nikah kristen kantor kosong sedang bangun trus ketemu pegawai duduk2 ngerokok berseragam katanya pindah kantor desa masing2 lempar sana sini sana sini sampe bingung pendatang gresik sini,Positif,0.9924
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,M UBAIDILLAH,1,2026-01-26T09:59:29.300Z,"Sempat ke yang lokasi dekat alun alun tapi tutup ada banner tulisan besar ""disdukcapil tutup"", kenapa gak ada update di sosmed dan dimapsnya kalau sudah gak beroperasional. Kan jadi buang waktu.",sempat ke yang lokasi dekat alun alun tapi tutup ada banner tulisan besar disdukcapil tutup kenapa gak ada update di sosmed dan dimapsnya kalau sudah gak beroperasional kan jadi buang waktu,sempat ke yang lokasi dekat alun alun tapi tutup ada banner tulisan besar disdukcapil tutup kenapa tidak ada update di sosmed dan dimapsnya kalau sudah tidak beroperasional kan jadi buang waktu,sempat lokasi dekat alun alun tutup banner tulisan besar disdukcapil tutup kenapa update sosmed dimapsnya beroperasional kan jadi buang waktu,Positif,0.9596
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Niki Prakoso,5,2026-01-12T06:33:46.767Z,Mantap ⁴ Me,mantap me,bagus me,bagus me,Negatif,0.9948
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Nurul Hanimah,5,2026-01-07T03:09:19.211Z,Apakah bisa ganti KTP luar daerah yang sudah buram dan ganti status menjadi kawin ?,apakah bisa ganti ktp luar daerah yang sudah buram dan ganti status menjadi kawin,apakah bisa ganti ktp luar daerah yang sudah buram dan ganti status menjadi kawin,apakah ganti ktp luar daerah buram ganti status menjadi kawin,Netral,0.9766
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Nofa Aji Prayoga,2,2025-11-26T05:37:25.565Z,"Lihat jamnya. Seharusnya yang namanya pelayanan publik tidak ditinggal dijam istirahat, petugas gantian istirahat. Jam 12.20 kosong. Para pekerja harus ijin cuti dong, ini namanya menyusahkan rakyat, percuma gedung bagus tapi tidak efisien. Top pegawai negri indonesia, foodcourt rumput tinggi lumayan untuk cuci mata mungkin Anggaran kota untuk kebersihannya tidak cukup",lihat jamnya seharusnya yang namanya pelayanan publik tidak ditinggal dijam istirahat petugas gantian istirahat jam kosong para pekerja harus ijin cuti dong ini namanya menyusahkan rakyat percuma gedung bagus tapi tidak efisien top pegawai negri indonesia foodcourt rumput tinggi lumayan untuk cuci mata mungkin anggaran kota untuk kebersihannya tidak cukup,lihat jamnya seharusnya yang namanya pelayanan publik tidak ditinggal dijam istirahat petugas gantian istirahat jam kosong para pekerja harus ijin cuti dong ini namanya menyusahkan rakyat percuma gedung bagus tapi tidak efisien top pegawai negri indonesia foodcourt rumput tinggi lumayan untuk cuci mata mungkin anggaran kota untuk kebersihannya tidak cukup,lihat jamnya seharusnya namanya pelayanan publik ditinggal dijam istirahat petugas gantian istirahat jam kosong para pekerja harus ijin cuti namanya menyusahkan rakyat percuma gedung bagus efisien top pegawai negri indonesia foodcourt rumput tinggi lumayan cuci mata mungkin anggaran kota kebersihannya cukup,Positif,0.7189
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,yummie duccky,2,2025-11-03T04:28:47.909Z,"pelayanan online lemot, proses antar layanan lama bgt  semoga segera dibenahi terimakasih 🙏🏻",pelayanan online lemot proses antar layanan lama bgt semoga segera dibenahi terimakasih,pelayanan online lemot proses antar layanan lama banget semoga segera dibenahi terimakasih,pelayanan online lemot proses antar layanan lama banget semoga segera dibenahi terimakasih,Positif,0.9978
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Ainur Rofiq,5,2025-10-06T10:03:30.404Z,"Terima kasih, Pelayanan sangat baik",terima kasih pelayanan sangat baik,terima kasih pelayanan sangat baik,terima kasih pelayanan baik,Negatif,0.9904
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,harun rasyid,5,2025-10-02T13:40:31.339Z,Via WA di arahkan langsung ke MPP  Mall Pelayan Publik offline semua beres dalam 15 menit,via wa di arahkan langsung ke mpp mall pelayan publik offline semua beres dalam menit,via wa di arahkan langsung ke mpp mall pelayan publik offline semua beres dalam menit,via wa arahkan langsung mpp mall pelayan publik offline semua beres menit,Netral,0.9964
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Moh Iman Syahab,1,2025-09-22T05:38:12.904Z,Mohon responya untuk admin maps mungkin ada solusi. Hari ini saya ngurus bpjs setelah di cek nik anak saya belum ke daftar padahal kk saya sudah diterbitkan di thn 2019 kok bisa kelewatan belum diaktifkan. Ini saya harus ngurus lagi ke dukcapil ayolah. Sedangkan layanan onlinya jugak tdk bisa telfon dan WA.,mohon responya untuk admin maps mungkin ada solusi hari ini saya ngurus bpjs setelah di cek nik anak saya belum ke daftar padahal kk saya sudah diterbitkan di thn kok bisa kelewatan belum diaktifkan ini saya harus ngurus lagi ke dukcapil ayolah sedangkan layanan onlinya jugak tdk bisa telfon dan wa,mohon responya untuk admin maps mungkin ada solusi hari ini saya ngurus bpjs setelah di cek nik anak saya belum ke daftar padahal kk saya sudah diterbitkan di thn kok bisa kelewatan belum diaktifkan ini saya harus ngurus lagi ke dukcapil ayolah sedangkan layanan onlinya jugak tidak bisa telfon dan wa,mohon responya admin maps mungkin solusi hari ngurus bpjs cek nik anak daftar padahal kk diterbitkan thn kok kelewatan diaktifkan harus ngurus dukcapil ayolah sedangkan layanan onlinya jugak telfon wa,Netral,0.9609
