sumber,tipe,jumlah_berita,topik_dibahas
Google News (radargresik.jawapos.com),google_news,19,Industri & Tambang | Lingkungan | Politik & Pemda | Umum | Pendidikan
Liputan6 - Gresik,nasional,17,Lingkungan | Ekonomi & UMKM | Umum | Politik & Pemda | Sosial & Budaya
Detik - Gresik,nasional,15,Umum | Politik & Pemda | Infrastruktur | Keamanan & Hukum | Lingkungan
IDN Times - Gresik,lokal,15,Sosial & Budaya | Umum | Ekonomi & UMKM
Suara.com - Gresik,lokal,12,Industri & Tambang | Kesehatan | Ekonomi & UMKM | Umum | Keamanan & Hukum
Google News (pwmu.co),google_news,10,Pendidikan | Industri & Tambang | Umum | Infrastruktur
CNN Indonesia - Gresik,nasional,7,Umum | Infrastruktur | Olahraga
Google News (Memorandum.co.id),google_news,5,Lingkungan | Umum | Infrastruktur | Ekonomi & UMKM
VIVA - Gresik,lokal,5,Industri & Tambang | Ekonomi & UMKM | Keamanan & Hukum | Umum
Google News (beritajatim.com),google_news,4,Umum | Keamanan & Hukum
Google News (Universitas Muhammadiyah Malang),google_news,4,Pendidikan | Infrastruktur
Google News (Gresikkab),google_news,4,Infrastruktur | Sosial & Budaya | Lingkungan
Google News (klikjatim.com),google_news,3,Umum | Sosial & Budaya
Google News (infogresik.id),google_news,3,Umum | Ekonomi & UMKM
Google News (jatim expost),google_news,3,Umum | Infrastruktur
Google News (detikcom),google_news,3,Umum
Google News (Sekilas Media -),google_news,3,Sosial & Budaya
Google News (Kanalindonesia.com),google_news,2,Umum | Infrastruktur
Google News (NUGres),google_news,2,Olahraga | Umum
Google News (VIVA Jatim),google_news,2,Umum
Google News (humas.polri.go.id),google_news,2,Industri & Tambang | Umum
Google News (Pelopor Wiratama),google_news,2,Infrastruktur
Google News (Tagar.co),google_news,2,Industri & Tambang | Sosial & Budaya
Google News (Malangkab),google_news,1,Infrastruktur
Google News (KilasJatim.com),google_news,1,Ekonomi & UMKM
Google News (Javasatu.com),google_news,1,Umum
Google News (IQAir),google_news,1,Umum
Google News (1minute.id),google_news,1,Umum
Google News (InfoPublik),google_news,1,Umum
Google News (Malang Pariwara),google_news,1,Pendidikan
Google News (beritaplus.id),google_news,1,Politik & Pemda
Google News (Universitas Negeri Malang),google_news,1,Pendidikan
Google News (TradingView),google_news,1,Industri & Tambang
Google News (Radar Jatim),google_news,1,Umum
Google News (Suara Muhammadiyah),google_news,1,Pendidikan
Google News (Suara Surabaya),google_news,1,Ekonomi & UMKM
Google News (SurabayaPost),google_news,1,Politik & Pemda
Google News (TagarJatim.id),google_news,1,Keamanan & Hukum
Google News (Radar Malang),google_news,1,Lingkungan
Google News (kejati-jatim.go.id),google_news,1,Pendidikan
Google News (jatimnet.com),google_news,1,Umum
Google News (kabarbisnis.com),google_news,1,Ekonomi & UMKM
Google News (lintasperkoro.com),google_news,1,Umum
Google News (radarjatim.co),google_news,1,Umum
Google News (unesa.ac.id),google_news,1,Pendidikan
Merdeka - Gresik,lokal,1,Ekonomi & UMKM
