topik,jumlah_berita,sumber_berita,contoh_judul
Umum,41,Detik - Gresik | CNN Indonesia - Gresik | VIVA - Gresik | IDN Times - Gresik | Suara.com - Gresik,"detikJatimRabu, 26 Agu 2026 16:10 WIB Dalang Penipuan SK ASN Palsu di Gresik Dituntut 3,5 Tahun Bui Sidang penipuan SK ASN di PN Gresik berlanjut. Terdakwa Antoni dituntut 3,5 tahun penjara setelah menipu belasan korban dengan kerugian Rp 1,5 miliar. || Evakuasi 10 Tiang Listrik Roboh di Gresik || Freeport Targetkan Smelter Gresik Beroperasi Lagi September 2026"
Lingkungan,12,Detik - Gresik | Liputan6 - Gresik | Google News (Memorandum.co.id) | Google News (Radar Gresik),"detikJatimMinggu, 23 Agu 2026 13:59 WIB Waduk di Gresik Surut, Anak-anak Manfaatkan Kubangan untuk Berburu Ikan Waduk di Desa Tenaru, Gresik, mulai mengering. Anak-anak memanfaatkan sisa kubangan untuk berburu ikan di tengah menyusutnya air waduk. || Waduk di Gresik Surut, Anak-anak Manfaatkan Kubangan untuk Berburu Ikan || Lahan Pertanian Gresik Hadapi Ancaman Kekeringan"
Keamanan & Hukum,11,Detik - Gresik | VIVA - Gresik | Suara.com - Gresik | Google News (Memorandum.co.id) | Google News (beritajatim.com),"detikJatimSelasa, 25 Agu 2026 08:45 WIB Maling Motor Dihajar Massa di Gresik Ternyata Sudah 5 Kali Beraksi Maling motor di Gresik, AAS, ditangkap setelah beraksi di lima lokasi. Uang hasil curian digunakan untuk judi dan narkoba. Kini dia terancam 7 tahun penjara. || detikJatimSelasa, 25 Agu 2026 08:15 WIB Kepergok Curi Motor di Gresik, Warga Mataram Babak Belur Dihajar Massa Seorang pria berinisial AAS ditangkap setelah kepergok mencuri motor di Gresik. Ia dihajar massa sebelum diamankan polisi. DPO pelaku lain masih diburu. || detikJatimMinggu, 23 Agu 2026 18:45 WIB Korban Dukun Cabul di Gresik Bertambah, Modusnya 'Istri Secara Ruh' Polisi mendalami kasus pelecehan seksual oleh NA, dukun di Gresik. Dua korban melapor, termasuk yang memiliki hubungan keluarga."
Ekonomi & UMKM,9,VIVA - Gresik | IDN Times - Gresik | Suara.com - Gresik | Liputan6 - Gresik | Merdeka - Gresik,"Petrokimia Gresik Amankan Pasokan Sulfur di Tengah Dinamika Geopolitik Timur Tengah || 6 Toko Sepatu Pilihan di Gresik, Kualitas Juara! || Di Tengah Persaingan Industri Bahan Bangunan, Semen Gresik Perkuat Kepercayaan Konsumen"
Infrastruktur,9,Detik - Gresik | CNN Indonesia - Gresik | Suara.com - Gresik | Liputan6 - Gresik | Google News (beritajatim.com),"Polisi Berlakukan Rekayasa Lalu Lintas di Tengah Perbaikan Jalan Gresik || Proyek Pelebaran Jalan di Gresik Picu Macet Panjang dan Debu Tebal || detikJatimRabu, 19 Agu 2026 18:30 WIB Ada Perbaikan Jalan Nasional di Gresik, Waspadai 5 Titik Kemacetan Ini Pengendara di Gresik perlu waspada terhadap kemacetan akibat perbaikan jalan di 5 titik utama. Antisipasi perlambatan arus kendaraan saat jam sibuk."
Sosial & Budaya,6,IDN Times - Gresik | Liputan6 - Gresik,"6 Oleh-oleh Khas Gresik Paling Populer Jadi Buah Tangan || Kopiah Hingga Tenun, 5 Kerajinan Khas Gresik yang Pas untuk Oleh-oleh || Cara Naik Bus Wisata Bandar Grissee Gresik 2026, Jadwal, Harga Tiket, dan Rutenya"
Pendidikan,6,Suara.com - Gresik | Google News (Radar Gresik) | Google News (BBPMP Jatim) | Google News (Javasatu.com),"Dukung Semangat Berbagai Generasi Muda, Semen Gresik Bersama FORSA Hadirkan Keceriaan Puluhan Siswa || Gresik Kirim Delegasi Jamnas ke Jakarta, UPT SMPN 28 Dominasi Pasukan Terbanyak - Radar Gresik || Kolaborasi Internasional, SMA SIG Hadirkan Native Asal Jepang Melalui Program Nihongo Partner - Radar Gresik"
Industri & Tambang,4,VIVA - Gresik | Suara.com - Gresik,"Perkuat Pasokan Gas Jangka Panjang, Petrokimia Gresik Teken Perjanjian Jual-Beli ke 2 Pihak Ini || Kawal Musim Tanam 2026, Petrokimia Gresik Amankan Stok Pupuk 219.648 Ton || Peringati HUT RI ke-81, Semen Gresik Dorong Insan Perusahaan Hadirkan Karya Terbaik bagi Negeri"
Politik & Pemda,3,Liputan6 - Gresik | Google News (Radar Gresik),"Hari Autis Sedunia, Gus Yani: Gresik Harus Jadi Kabupaten Inklusif Tanpa Diskriminasi || Semen Gresik Angkat Politisi PKS Zulkieflimansyah Jadi Komisaris || DPC PPP Gresik Gelar Musancab Serentak, Bidik Target 5 Kursi DPRD - Radar Gresik"
Olahraga,2,CNN Indonesia - Gresik | Google News (Tribunbanyumas.com),"PTFI Gelar FGT 2026, Asah Ratusan Talenta Sepak Bola Muda Gresik || Ditahan Imbang Klub Liga 3 Nusantara Gresik United, Pelatih PSIS Widodo C Putro Puji Fisik Pemain - Tribunbanyumas.com"
Kesehatan,2,Detik - Gresik | Suara.com - Gresik,"detikJatimJumat, 21 Agu 2026 18:45 WIB Dukun Cabul di Gresik Tega Perkosa Pasien yang Depresi Usai Bercerai Unit Perlindungan Perempuan dan Anak Polres Gresik menangkap NA, seorang dukun. Dia diduga memerkosa pasien memanfaatkan kondisi depresi korban. || Pasien Depresi di Gresik Dirudapaksa di Gubuk Sawah Berkedok Pengobatan Alternatif"
