keyword,shortcode,link_postingan,username,caption,tanggal,likes,comments
Gresik,DaUmCT4CWRm,https://www.instagram.com/p/DaUmCT4CWRm/,-,DaUmCT4CWRm,2026-07-03T07:08:09.000Z,0,3
Gresik,DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,-,DNf8njKpBk-,2025-08-18T14:10:48.000Z,1,9
Gresik,CsQ-rnXpDr8,https://www.instagram.com/p/CsQ-rnXpDr8/,-,CsQ-rnXpDr8,2023-05-15T13:25:02.000Z,0,16
Gresik,DaX4chumfk-,https://www.instagram.com/p/DaX4chumfk-/,-,DaX4chumfk-,2026-07-04T13:46:45.000Z,1,19
Gresik,Dam88SSP6c_,https://www.instagram.com/p/Dam88SSP6c_/,-,Dam88SSP6c_,2026-07-10T10:14:38.000Z,1,6
Gresik,DT49pmCAfHq,https://www.instagram.com/p/DT49pmCAfHq/,-,DT49pmCAfHq,2026-01-24T10:29:04.000Z,2,17
Gresik,DZ18Ydrjzhd,https://www.instagram.com/p/DZ18Ydrjzhd/,-,DZ18Ydrjzhd,2026-06-21T09:26:58.000Z,1,2
Gresik,DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,-,DY4RdCuvDoa,2026-05-28T10:38:12.000Z,1,3
Gresik,DNdEV4NJiC8,https://www.instagram.com/p/DNdEV4NJiC8/,-,DNdEV4NJiC8,2025-08-17T11:18:46.000Z,0,2
Gresik,DWxJSNmE_b-,https://www.instagram.com/p/DWxJSNmE_b-/,-,DWxJSNmE_b-,2026-04-05T23:09:23.000Z,1,16
Gresik,DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,-,DaIfEf8FHkx,2026-06-28T14:16:24.000Z,292,31
Gresik,DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,-,DOhVWIfE1qf,2025-09-12T23:51:54.000Z,4,11
Gresik,DHFqiLRPoBe,https://www.instagram.com/p/DHFqiLRPoBe/,-,DHFqiLRPoBe,2025-03-12T06:02:20.000Z,1,17
Gresik,DXgf8N_AXCU,https://www.instagram.com/p/DXgf8N_AXCU/,-,DXgf8N_AXCU,2026-04-24T08:31:55.000Z,4,7
Gresik,DWsw74PgDB8,https://www.instagram.com/p/DWsw74PgDB8/,-,DWsw74PgDB8,2026-04-04T06:19:36.000Z,438,17
Gresik,DSCEz1Bkjz3,https://www.instagram.com/p/DSCEz1Bkjz3/,-,DSCEz1Bkjz3,2025-12-09T06:29:40.000Z,1,16
Gresik,DacKxgBjxXK,https://www.instagram.com/p/DacKxgBjxXK/,-,DacKxgBjxXK,2026-07-06T05:44:55.000Z,0,1
Gresik,DU-svszCSfX,https://www.instagram.com/p/DU-svszCSfX/,-,DU-svszCSfX,2026-02-20T12:26:32.000Z,0,1
Gresik,DUw7BKwE3Fg,https://www.instagram.com/p/DUw7BKwE3Fg/,-,DUw7BKwE3Fg,2026-02-15T04:02:07.000Z,28,18
Gresik,CvcO3kJpzbD,https://www.instagram.com/p/CvcO3kJpzbD/,-,CvcO3kJpzbD,2023-08-02T11:49:40.000Z,1,13
Gresik,DZ673xctIpv,https://www.instagram.com/p/DZ673xctIpv/,-,DZ673xctIpv,2026-06-23T07:59:05.000Z,0,1
Gresik,DW99l5rFGr7,https://www.instagram.com/p/DW99l5rFGr7/,-,DW99l5rFGr7,2026-04-10T22:37:16.000Z,0,2
Gresik,DZhvOI_PtoK,https://www.instagram.com/p/DZhvOI_PtoK/,-,DZhvOI_PtoK,2026-06-13T13:07:08.000Z,0,8
Gresik,DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,-,DaaTj0cvb5N,2026-07-05T12:22:09.000Z,1,8
Gresik,Cz20Wlahfma,https://www.instagram.com/p/Cz20Wlahfma/,-,Cz20Wlahfma,2023-11-20T05:43:02.000Z,2,12
Gresik,DZZ-GplBr1Y,https://www.instagram.com/p/DZZ-GplBr1Y/,-,DZZ-GplBr1Y,2026-06-10T12:43:18.000Z,1,5
Gresik,DaESuV3S9Ra,https://www.instagram.com/p/DaESuV3S9Ra/,-,DaESuV3S9Ra,2026-06-26T23:11:34.000Z,1,4
Gresik,DE7CpT4SveZ,https://www.instagram.com/p/DE7CpT4SveZ/,-,DE7CpT4SveZ,2025-01-17T09:58:36.000Z,0,11
Gresik,DZ9vfaRzIWK,https://www.instagram.com/p/DZ9vfaRzIWK/,-,DZ9vfaRzIWK,2026-06-24T10:08:14.000Z,0,1
Gresik,DZ9KfjxzI3X,https://www.instagram.com/p/DZ9KfjxzI3X/,-,DZ9KfjxzI3X,2026-06-24T04:47:04.000Z,0,2
