shortcode,link_postingan,teks_asli,teks_bersih,sentimen,skor,topik
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,achmad_officials,achmad_officials,netral,0.986,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,kecoak_tanpa_sayap,kecoak_tanpa_sayap,negatif,0.994,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,nlndraaa_z,nlndraaa_z,positif,0.568,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,taufik_m4th,taufik_m4th,netral,0.987,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,skyviews_id,skyviews_id,netral,0.991,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,wisatagresik,wisatagresik,netral,0.866,wisata
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,remekkan_kopi,remekkan_kopi,negatif,0.976,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,s.yantimaya,syantimaya,positif,0.955,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,uz_az64,uz_az64,netral,0.982,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,aminnzein,aminnzein,positif,0.977,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,arrahman_ari,arrahman_ari,netral,0.987,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,7815felicia,7815felicia,netral,0.872,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,dickyywhyudi_,dickyywhyudi_,netral,0.883,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,danangtri_22,danangtri_22,netral,0.99,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,etik_asr,etik_asr,netral,0.973,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,marthahputra,marthahputra,netral,0.612,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,affan_abdlhkm,affan_abdlhkm,netral,0.984,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,kessyrahedy,kessyrahedy,positif,0.612,umum
DWgJIj1Cbsi,https://www.instagram.com/p/DWgJIj1Cbsi/,netizen__fi_sabilillah,netizen__fi_sabilillah,netral,0.957,umum
DaUmCT4CWRm,https://www.instagram.com/p/DaUmCT4CWRm/,iy_mita,iy_mita,netral,0.987,umum
DaUmCT4CWRm,https://www.instagram.com/p/DaUmCT4CWRm/,oyy_imm_,oyy_imm_,positif,0.65,umum
DaUmCT4CWRm,https://www.instagram.com/p/DaUmCT4CWRm/,natasyaastcuu,natasyaastcuu,positif,0.926,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,inigresik,inigresik,netral,0.97,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,sinchan4010,sinchan4010,netral,0.92,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,nug_goahead,nug_goahead,netral,0.952,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,akhmad_syihabuddin_riza,akhmad_syihabuddin_riza,netral,0.993,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,lucky.hidayatulloh,luckyhidayatulloh,netral,0.534,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,nuvrizzal,nuvrizzal,positif,0.839,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,chomsinachoirun,chomsinachoirun,netral,0.684,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,tvsgresik_official,tvsgresik_official,netral,0.985,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,huruf.timbul.gresik,huruftimbulgresik,netral,0.957,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,keep_stronger_,keep_stronger_,positif,0.91,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,rizky.smaulana,rizkysmaulana,positif,0.685,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,herr_rizalumami,herr_rizalumami,netral,0.992,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,meeiilindaa,meeiilindaa,positif,0.582,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,rodlyatussadiyah,rodlyatussadiyah,netral,0.89,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,septiandm93,septiandm93,netral,0.898,umum
DUfHUeGERC3,https://www.instagram.com/p/DUfHUeGERC3/,dessyakholifah,dessyakholifah,positif,0.619,umum
DU-0VVFEqam,https://www.instagram.com/p/DU-0VVFEqam/,like_project97,like_project97,netral,0.975,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,sorot.gresik,sorotgresik,netral,0.967,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,ryo.1389,ryo1389,netral,0.868,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,han.utah,hanutah,positif,0.865,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,kripikusus_gresik,kripikusus_gresik,netral,0.983,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,t39uh_54putr4,t39uh_54putr4,netral,0.987,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,muhamad_taufiq_zein,muhamad_taufiq_zein,netral,0.991,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,niiand_,niiand_,positif,0.7,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,diray_dipantara,diray_dipantara,netral,0.987,umum
DNf8njKpBk-,https://www.instagram.com/p/DNf8njKpBk-/,moi_moi909,moi_moi909,netral,0.988,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,nana.berceritaa,nanaberceritaa,positif,0.715,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,indariyati2408,indariyati2408,netral,0.991,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,mash_fardan,mash_fardan,positif,0.514,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,indahqa,indahqa,positif,0.995,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,momohazard13,momohazard13,netral,0.873,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,rahyasenda,rahyasenda,netral,0.496,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,riris_mimi,riris_mimi,netral,0.989,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,copler_bixmo_t.a.r,copler_bixmo_tar,netral,0.993,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,syyiiiif4,syyiiiif4,positif,0.509,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,dapur_imaimey,dapur_imaimey,netral,0.957,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,azzahrania7,azzahrania7,netral,0.774,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,ugowahyu,ugowahyu,negatif,0.498,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,stmarhoem,stmarhoem,positif,0.529,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,cak.haliem,cakhaliem,positif,0.541,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,masdddal,masdddal,positif,0.919,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,temulawakgiriofficial,temulawakgiriofficial,netral,0.96,umum
DYf3_OezRPF,https://www.instagram.com/p/DYf3_OezRPF/,evie_jjv,evie_jjv,netral,0.982,umum
