Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Trobel Boiz,3,2026-06-01T08:46:16.599Z,Identitas
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Amir's Channel,5,2026-05-02T10:07:52.417Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Muhamad Yusup,5,2026-02-17T09:49:27.408Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,mbakeditalay selamanya,1,2026-02-05T21:24:37.272Z,"Saya mau urus pembaharuan KK dan pembaharuan akta nikah Kristen kantor kosong g sedang di bangun trus ketemu pegawai nya duduk2 ngerokok berseragam katanya sudah pindah ke kantor desa masing2, saya di lempar sana sini sana sini sampe bingung ,saya pendatang di Gresik sini."
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,M UBAIDILLAH,1,2026-01-26T09:59:29.300Z,"Sempat ke yang lokasi dekat alun alun tapi tutup ada banner tulisan besar ""disdukcapil tutup"", kenapa gak ada update di sosmed dan dimapsnya kalau sudah gak beroperasional. Kan jadi buang waktu."
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Reeno,4,2026-01-15T01:05:58.248Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Niki Prakoso,5,2026-01-12T06:33:46.767Z,Mantap ⁴ Me
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Nurul Hanimah,5,2026-01-07T03:09:19.211Z,Apakah bisa ganti KTP luar daerah yang sudah buram dan ganti status menjadi kawin ?
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Hendra Awan,5,2025-11-27T02:10:51.938Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Nofa Aji Prayoga,2,2025-11-26T05:37:25.565Z,"Lihat jamnya. Seharusnya yang namanya pelayanan publik tidak ditinggal dijam istirahat, petugas gantian istirahat. Jam 12.20 kosong. Para pekerja harus ijin cuti dong, ini namanya menyusahkan rakyat, percuma gedung bagus tapi tidak efisien. Top pegawai negri indonesia, foodcourt rumput tinggi lumayan untuk cuci mata mungkin Anggaran kota untuk kebersihannya tidak cukup"
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,FadilAhmad Sidik,4,2025-11-19T10:11:32.376Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,yummie duccky,2,2025-11-03T04:28:47.909Z,"pelayanan online lemot, proses antar layanan lama bgt  semoga segera dibenahi terimakasih 🙏🏻"
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Rujhan Cahyandaru,5,2025-10-13T09:08:28.196Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Ainur Rofiq,5,2025-10-06T10:03:30.404Z,"Terima kasih, Pelayanan sangat baik"
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,harun rasyid,5,2025-10-02T13:40:31.339Z,Via WA di arahkan langsung ke MPP  Mall Pelayan Publik offline semua beres dalam 15 menit
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Fitra Al rasyid,1,2025-09-23T13:54:18.551Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Moh Iman Syahab,1,2025-09-22T05:38:12.904Z,Mohon responya untuk admin maps mungkin ada solusi. Hari ini saya ngurus bpjs setelah di cek nik anak saya belum ke daftar padahal kk saya sudah diterbitkan di thn 2019 kok bisa kelewatan belum diaktifkan. Ini saya harus ngurus lagi ke dukcapil ayolah. Sedangkan layanan onlinya jugak tdk bisa telfon dan WA.
