Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,sentimen,sentimen_score
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Leonardus Haryosampang G,5,2023-04-04T01:12:46.059Z,"Pelayanan cepat, dipermudah, biaya transparan dan perlu ditiru di semua area di Indonesia",pelayanan cepat dipermudah biaya transparan dan perlu ditiru di semua area di indonesia,pelayanan cepat dipermudah biaya transparan dan perlu ditiru di semua area di indonesia,pelayanan cepat dipermudah biaya transparan perlu ditiru semua area indonesia,Negatif,0.9677
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Azundha Rahmadani A.,5,2023-03-21T04:17:07.952Z,"untuk fasilitas yang disediakan sudah sangat baik. tetapi untuk loket 5 dari dinkes gresik kurang tanggap pelayanannya, follow up revisi pengurusan SIP belum sampai ke petugas yang sedang berjaga di MPP, akhirnya harus menunggu revisi SIP yang baru lebih dari satu jam.",untuk fasilitas yang disediakan sudah sangat baik tetapi untuk loket dari dinkes gresik kurang tanggap pelayanannya follow up revisi pengurusan sip belum sampai ke petugas yang sedang berjaga di mpp akhirnya harus menunggu revisi sip yang baru lebih dari satu jam,untuk fasilitas yang disediakan sudah sangat baik tetapi untuk loket dari dinkes gresik kurang tanggap pelayanannya follow up revisi pengurusan sip belum sampai ke petugas yang sedang berjaga di mpp akhirnya harus menunggu revisi sip yang baru lebih dari satu jam,fasilitas disediakan baik loket dinkes gresik kurang tanggap pelayanannya follow up revisi pengurusan sip sampai petugas sedang berjaga mpp akhirnya harus menunggu revisi sip satu jam,Positif,0.9496
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Opa OpA,5,2023-03-13T01:56:16.057Z,Terima kasih atas pelayanan nya,terima kasih atas pelayanan nya,terima kasih atas pelayanan nya,terima kasih atas pelayanan,Negatif,0.9405
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sumadi bukhori,1,2023-02-16T00:17:28.037Z,"Pelayanan yang ribet dan lemot, terutama loket 13 pak sugi suka ilang ilangan orangnya gk niat kerja",pelayanan yang ribet dan lemot terutama loket pak sugi suka ilang ilangan orangnya gk niat kerja,pelayanan yang ribet dan lemot terutama loket pak sugi suka ilang ilangan orangnya tidak niat kerja,pelayanan ribet lemot terutama loket pak sugi suka ilang ilangan orangnya niat kerja,Positif,0.998
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Aliaa Nurrahma,5,2023-02-13T11:05:08.364Z,Mudah cepat plyanannya..,mudah cepat plyanannya,mudah cepat plyanannya,mudah cepat plyanannya,Negatif,0.989
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Adit Rahman,3,2023-01-26T04:17:56.706Z,"Niat nya mau ambil Kartu Keluarga yang saya ngurus 2 hari lalu di dukcapil, di kasih surat pengambilan di suruh ambil nya di kantor MPP. Saya datang jam 10 an pagi, katanya petugas nya nggak ada dan di suruh kembali jam 13:00 atau besok pagi nya. Apa iya petugas nya cuma 1 dan gak ada gantinya, atau tiap hari ada kuota jatah untuk KK, kasihan yg sudah izin kerja niat buat ambil, ternyata petugas nya gak ada atau nihil. Untuk tempat nya bagus dan nyaman, karena masih baru juga.",niat nya mau ambil kartu keluarga yang saya ngurus hari lalu di dukcapil di kasih surat pengambilan di suruh ambil nya di kantor mpp saya datang jam an pagi katanya petugas nya nggak ada dan di suruh kembali jam atau besok pagi nya apa iya petugas nya cuma dan gak ada gantinya atau tiap hari ada kuota jatah untuk kk kasihan yg sudah izin kerja niat buat ambil ternyata petugas nya gak ada atau nihil untuk tempat nya bagus dan nyaman karena masih baru juga,niat nya mau ambil kartu keluarga yang saya ngurus hari lalu di dukcapil di kasih surat pengambilan di suruh ambil nya di kantor mpp saya datang jam an pagi katanya petugas nya tidak ada dan di suruh kembali jam atau besok pagi nya apa iya petugas nya cuma dan tidak ada gantinya atau tiap hari ada kuota jatah untuk kk kasihan yang sudah izin kerja niat buat ambil ternyata petugas nya tidak ada atau nihil untuk tempat nya bagus dan nyaman karena masih baru juga,niat mau ambil kartu keluarga ngurus hari lalu dukcapil kasih surat pengambilan suruh ambil kantor mpp datang jam an pagi katanya petugas suruh kembali jam besok pagi apa iya petugas cuma gantinya tiap hari kuota jatah kk kasihan izin kerja niat buat ambil ternyata petugas nihil tempat bagus nyaman,Positif,0.9819
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Imam Safii,5,2022-07-28T14:34:34.123Z,One stop services integration,one stop services integration,one stop services integration,one stop services integration,Netral,0.9636
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Muhammad Ahmad,4,2022-07-27T06:39:59.092Z,Gedung bagus Parkir luas,gedung bagus parkir luas,gedung bagus parkir luas,gedung bagus parkir luas,Negatif,0.9955
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Suzy,5,2022-07-11T04:24:19.208Z,Pelayanan cepat tanpa bingung ninggal baby lama2...  Ngurus kk dan KTP cuma bbrapa menit sudah jadi...,pelayanan cepat tanpa bingung ninggal baby lama2 ngurus kk dan ktp cuma bbrapa menit sudah jadi,pelayanan cepat tanpa bingung ninggal baby lama2 ngurus kk dan ktp cuma bbrapa menit sudah jadi,pelayanan cepat tanpa bingung ninggal baby lama2 ngurus kk ktp cuma bbrapa menit jadi,Negatif,0.8253
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,cahyo subchi,1,2022-06-17T02:11:32.955Z,"Pelayanan masih selevel dengan kelurahan dan kecamatan, hari ini jaringan trouble, ditolak pelayanan dan diarahkan ke dispendukcapil untuk cetak ktp.Tidak ada pemberitahuan sebelumnya padahal kemarin pemberitahuan untuk mengurus via WA. Estimasi waktu pun tidak bisa disampaikan kapan seleseinya.Jawaban penanganan karena jaringan troble mirip sekali dengan di kecamatan dan kelurahan.",pelayanan masih selevel dengan kelurahan dan kecamatan hari ini jaringan trouble ditolak pelayanan dan diarahkan ke dispendukcapil untuk cetak ktp tidak ada pemberitahuan sebelumnya padahal kemarin pemberitahuan untuk mengurus via wa estimasi waktu pun tidak bisa disampaikan kapan seleseinya jawaban penanganan karena jaringan troble mirip sekali dengan di kecamatan dan kelurahan,pelayanan masih selevel dengan kelurahan dan kecamatan hari ini jaringan trouble ditolak pelayanan dan diarahkan ke dispendukcapil untuk cetak ktp tidak ada pemberitahuan sebelumnya padahal kemarin pemberitahuan untuk mengurus via wa estimasi waktu pun tidak bisa disampaikan kapan seleseinya jawaban penanganan karena jaringan troble mirip sekali dengan di kecamatan dan kelurahan,pelayanan selevel kelurahan kecamatan hari jaringan trouble ditolak pelayanan diarahkan dispendukcapil cetak ktp pemberitahuan sebelumnya padahal kemarin pemberitahuan mengurus via wa estimasi waktu disampaikan kapan seleseinya jawaban penanganan jaringan troble mirip kecamatan kelurahan,Netral,0.9194
