sub_kategori,kategori,nama,alamat,rating,jumlah_ulasan
Apotek & Farmasi,Kesehatan,APOTEK DEWA KRISHNA,"Dusun Gading, Cangkir, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177, Indonesia",5.0,6.0
Apotek & Farmasi,Kesehatan,APOTEK HOKA,"Jl. Pasar Cerme Lor, Cerme Lor, Kec. Cerme, Kabupaten Gresik, Jawa Timur 61171, Indonesia",4.9,12.0
Apotek & Farmasi,Kesehatan,APOTEK MAHE JAYA FARMA,"Perumahan Graha Mutiara Indah No.4901, Perum Sumput Asri, Sumput, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177, Indonesia",,
Apotek & Farmasi,Kesehatan,APOTEK RAMADHANI FARMA,"JHRH+PXP, Jl. Prapatan Karangandong, Dusun Mojotanjung, Tanjungan, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177, Indonesia",5.0,1.0
Apotek & Farmasi,Kesehatan,Apotek APB Gresik,"jalan raya lor Jl. Dusun Kendal, RT.01/RW.01, Dungus Kidul, Dungus, Kec. Cerme, Kabupaten Gresik, Jawa Timur 61171, Indonesia",4.8,240.0
Apotek & Farmasi,Kesehatan,Apotek Amerta Medika,"Jl. Raya Wates Tj., Wates, Pasinan Lemahputih, Kec. Wringinanom, Kabupaten Gresik, Jawa Timur 61170, Indonesia",4.6,10.0
Apotek & Farmasi,Kesehatan,Apotek Assa Farma Driyorejo,"Jl. Raya Batu Mulia Jl. Raya Granit Nila No.12E J-9B, Paras, Mulung, Gresik, Kabupaten Gresik, Jawa Timur 61177, Indonesia",4.1,110.0
Apotek & Farmasi,Kesehatan,Apotek BM-41,"Jl. Raya Batu Mulia No.41, Paras, Mulung, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177, Indonesia",4.6,37.0
Apotek & Farmasi,Kesehatan,Apotek Banjar Baru,"APotek Banjar Baru, Jl. Banjar Baru No.2, Wonorejo, Yosowilangun, Kec. Manyar, Kabupaten Gresik, Jawa Timur 61151, Indonesia",4.5,21.0
Apotek & Farmasi,Kesehatan,Apotek Banjaran,"JHRG+X3C, Dusun Banjarsari, Banjaran, Kec. Driyorejo, Kabupaten Gresik, Jawa Timur 61177, Indonesia",4.0,3.0
Apotek & Farmasi,Kesehatan,Apotek Caraka Farma Dan Praktek Dokter Umum,"Jl. Raya Banjarsari No.49, Banjai Sari, Danau/Waduk, Kec. Cerme, Kabupaten Gresik, Jawa Timur 61171, Indonesia",4.8,37.0
Apotek & Farmasi,Kesehatan,Apotek Domas,"Jl. Raya Domas No.9, Petal, Boteng, Kec. Menganti, Kabupaten Gresik, Jawa Timur 61174, Indonesia",3.4,34.0
Apotek & Farmasi,Kesehatan,Apotek Dukun Farma,"Jl raya, Sembungan Kidul, Kec. Dukun, Kabupaten Gresik, Jawa Timur 61155, Indonesia",3.9,19.0
