url_produk,nama_produk,harga,lokasi_seller,rating_produk,terjual,badge,nama_toko,url_toko,rating_toko
https://www.lazada.co.id/products/pdp-i1013892781-s3541222521.html,"ADAPTOR MURNI12V AC TO DC - 1A 2A 3A 5A ADAPTER CCTV LED STRIP DVR ROUTER MODEM POMPA 5.5MM ADAPTER
Rp
18.865
Rp
45.000
-58%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1158836403-s14759366418.html,"T-Shirt Distro Racing Team 93 Chicago T-Shirt
Rp
56.075
Rp
120.000
-53%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1523040436-s11974564134.html,"HEADSET ORIGINAL PM02 DIJAMIN EXTRA BASS BISA DIGUNAKAN SEPERTI OPPO / VIVO / REALME / XIAOMI REDMI
Rp
9.027
Rp
35.000
-74%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1692008967-s3283650765.html,"Kiprok Original Vario 110 Karbu / Beat Karbu / Scoopy Karbu / Spacy Karbu / Vario 110 CW KVB KD79
Rp
42.500
Rp
42.500",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1692014927-s3283696399.html,"Kampas Ganda Original Beat FI Stater Kasar / Scoopy FI Kasar / Vario 110 FI Kasar KZL Thailand KD65
Rp
112.500
Rp
112.500",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1742120389-s3390274765.html,"Jlo Still Aroma Perfume, Women's Perfume Refill Oil, Long-Lasting Fragrance, Various Kinds of Cheap Promo Aromas
Rp
19.800
Rp
75.000
-74%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5838580404-s13495562955.html,"[FREE ONGKIR JABODETABEK] Toshiba TV 32"" HD Digital TV - Dolby Audio Regza Game Mode HDMI USB - 32S25KP
Rp3.029.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8165830574-s14568350379.html,"MY BABY MINYAK TELON PLUS 150ml, 90ml, 60ml AROMA EUCALYPTUS & LAVENDER
Rp13.900 -72%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8646346526-s16069522115.html,"So Fresh Minyak Angin Aromatherapy Hot 10ml Bundle
Rp13.500",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7896088868-s14311700171.html,"Makarizo Vitaglitz Serum Keratin Aloe Melon 6x1ml
Rp15.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5576674231-s11030420388.html,"NEO Coffee Instan Moccachino 9x20gr
Rp11.100",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7173608666-s13492618196.html,"My Baby Minyak Telon Plus 30 ml - Aroma Telon Eucalyptus Anti Nyamuk Hingga 8 Jam
Rp10.800",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7305820926-s13694444971.html,"Kelly Pearl Cream 15gr Original BPOM
Rp19.795",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7735494760-s14230694971.html,"KATSAE - STICKER LOGO / STICKER BRAND
Rp500",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i514896404-s700212897.html,"PIGEON Facial Foam 100Ml
Rp25.300",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7384456568-s13798442282.html,"RINSO Anti Noda PLUS MOLTO 400gr Detergen Bubuk paket isi 2 Murah
Rp12.900 -14%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1068476750-s13395776577.html,"Pyramid Lem Karet Tambal Ban Tubeless 40g 90g
Rp10.499",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5497720327-s10954010204.html,"HDY sandal jepit pria distro terlaris/kekinian dan termurah berkualitas
Rp10.500 -64%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8227742063-s14635796316.html,"Coklat collins reapack 200 gram toping donat hiasan kue selai roti
Rp13.500 -10%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8782000505-s16227848454.html,"SCARLETT WHITENING EAU DE PARFUM (EDP) 30ML SERIES ( READY ALL VARIAN AROMA )
Rp8.800",-,Kab. Gresik,-,-,-,-,-,-
