nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
Watsons,Kab. Gresik,https://www.lazada.co.id/watsons-brands/?type=brand,-,7,Kecantikan | Lainnya,"Cap Lang Minyak Kayu Putih Plus 120ml
Rp77.000 | Ciptadent Pasta Gigi Maxi Jumbo Cool Mint 225 g
Rp11.000 | Maybelline Superstay Matte Ink Liquid Lipstick 375 Peacekeeper
Rp90.200 | Scora 2,5% D-Panthenol Barrier Shield Moisturizer 45ml
Rp33.500"
Glad2Glow,Kab. Gresik,https://www.lazada.co.id/lazada5368008360_glad2glow-126092210/?type=brand,-,6,Kecantikan | Lainnya,"Glad2Glow Perfect Cover Cushion 11g 6 Shades Matte Finish Make Up BB Cream CC Cream Bedak Foundation Oil Control Long Wear Light Weight Cushion Glad2Glow
Rp66.500 | GLAD2GLOW PDRN BRIGHTENING SERUM PDRN 10% NIACINAMIDE 3% TXA SERUM Mencerahkan Wajah Serum Glow Bomb
Rp89.500 | Glad2Glow 2in1 Perfect Pair Cushion Powder 11ml+8 g Bedak Padat Foundation Waterproof Make Up Setting BB Cream Tahan Tahan 12Jam Hasil Akhir Glowing Dan Menyatu Dengan Warna Kulit Tekstur Ringan Di Wa | Glad2Glow Milk Amino Acids Brightening Cleanser 80ml Glad2Glow Face Wash Milk Cleanser G2G Cleansing Milk Gentle Facial Wash Sabun Cuci Muka Pembersih Wajah Face Cleanser Cuci Muka Sabun Muka Facial F"
Dancow,Kab. Gresik,https://www.lazada.co.id/dancow/?type=brand,-,4,Lainnya,"Nestlé Dancow 1+ Rasa Madu Susu Pertumbuhan Anak 1-3 Tahun 1kg
Rp96.100 | Dancow Fortigro Cokelat Sachet 10x38gr [Renceng]
Rp37.630 | Nestlé Dancow 5+ Rasa Madu 1kg x2
Rp186.300 | Nestlé Dancow 3+ Rasa Madu 3-5 Tahun 1kg
Rp95.800"
Kodomo,Kab. Gresik,https://www.lazada.co.id/kodomo/?type=brand,-,4,Lainnya,"KODOMO Sikat Gigi Zigzag 2 IN 1
Rp5.950 | [Paket isi 2] KODOMO Tisu Basah Antibakterial Pink Bag isi 50
Rp18.100 | [Paket isi 2] KODOMO Top To Toe Refill 450ml
Rp29.700 | [Paket isi 2] KODOMO Shower Strawberry Botol 250ML
Rp20.900"
Lifebuoy,Kab. Gresik,https://www.lazada.co.id/lifebuoy/?type=brand,-,4,Lainnya,"[BELI 2 LEBIH HEMAT 30%] Lifebuoy Sabun Mandi Japanese Shiso & Mineral Clay 2x720gr
Rp45.300 | Lifebuoy Sabun Batang Antiseptik Lemon Fresh 2x4x100g
Rp36.900 | Lifebuoy Sabun Mandi Cair Total 10 2x800ml Pre-Order
Rp54.800 | [BELI 2 LEBIH HEMAT 30%] Lifebuoy Sabun Mandi Cair Yoghurt Care Refill 2x720gr
Rp43.600"
MamyPoko,Kab. Gresik,https://www.lazada.co.id/mamypoko/?type=brand,-,4,Lainnya,"MamyPoko Pants X-Tra Kering ukuran XXL24 x4 (15-25kg) isi 96 pcs [Karton]
Rp219.300 | MamyPoko Pants X-tra Kering TIDAK GEMBUNG ukuran XXL(15-25kg), isi 34pcs
Rp66.600 | MamyPoko Pants X-tra Kering XXL34 x3 (15-25kg)
Rp239.500 | [BARU!] MamyPoko Pants X-Tra Kering ukuran XXXL 18-35kg), isi 20+2 x 4packs ( 88 pcs -KARTON)
Rp228.700"
Tabitha,Kab. Gresik,https://www.lazada.co.id/tabitha/?type=brand,-,4,Lainnya | Rumah Tangga,"Tabitha Storia Lemari Pakaian Plastik Kunci
Rp179.091 -58% | RAK MAKANAN TERTUTUP FOOD CABINET TABITHA VOYAH [TABACC]
Rp148.800 -51% | TABIHA LEMARI PAKAIAN PLASTIK MAESTRO MOTIF CRYSTAL LEMARI SERBAGUNA [TABBOX]
Rp87.600 -48% | Rak Piring Multifungsi Food Cabinet Tabitha Voyah Tempat Penyimpanan Makanan Tertutup Transparan
Rp172.953 -13%"
Mie Sedaap,Kab. Gresik,https://www.lazada.co.id/sedaap/?type=brand,-,3,Lainnya,"Sedaap Mie Instan Soto Bag 75gr x5
Rp12.000 | Sedaap Mie Instan Goreng Bag 90gr isi 40 pcs [Karton]
Rp99.400 | Sedaap Mie Instan Soto Bag 75gr x5
Rp12.200"
Posh,Kab. Gresik,https://www.lazada.co.id/lazada6960073_posh-127217203/?type=brand,-,3,Fashion Muslim,"[Paket isi 2] Posh Body Spray Hijab Green Blossom Bottle 150 ml
Rp30.700 | [Paket isi 2] Posh Body Spray Hijab Green Blossom Bottle 150ml
Rp30.100 | [Paket isi 2] Posh Hijab Spray Cologne Pink Blush Botol 150ml
Rp31.400"
Reaim,Kab. Gresik,https://www.lazada.co.id/lazada6962002360_reaim-127207402/?type=brand,-,3,Lainnya,"Mesin Potong Kayu 58CC 20inch Chainsaw 2Tak Untuk Gergaji Mesin Alat Outdoor Mesin Gergaji Mesin Gergaji Kayu Gergaji Potong Pohon Kayu
Rp847.000 -29% | REAIM Genset Portable 4000W 210CC Pembangkit Listrik Mini untuk Rumah Tangga Outdoor Bensin
Rp1.569.000 -17% | Reaim 600W Jet Cleaner 450Bar Mesin Cuci Motor Jet Cleaner Mesin Cuci Mobil Alat Cuci Motor
Rp624.000 -38%"
SoSoft,Kab. Gresik,https://www.lazada.co.id/lazada7919044360_so%20soft-127359644/?type=brand,-,3,Lainnya,"SoSoft Deterjen Cair Rose & Waterlilly 2x700ml
Rp22.200 | SoSoft Deterjen Cair Sakura Blossom Botol 700ml
Rp11.100 | [Paket isi 2] SoSoft Deterjen Cair Freesia and Pear Botol 700ml
Rp22.200"
NUVO,Kab. Gresik,https://www.lazada.co.id/nuvo/?type=brand,-,3,Lainnya,"[Paket isi 2] NUVO FAMILY Sabun Mandi Cair Fresh Protect Pouch 400ml
Rp22.000 | [Paket isi 2] NUVO FAMILY Sabun Mandi Cair Total Protect Pouch 825ml
Rp44.000 | NUVO Sabun Mandi Cair Total Protect Pouch 400ml 2pcs
Rp21.500"
Merries,Kab. Gresik,https://www.lazada.co.id/merries/?type=brand,-,3,Ibu & Bayi,"Merries Good Skin Pants Popok Bayi Baru Lahir NB-S40 x4 (3-8kg) isi 160 pcs [Karton]
Rp
214.700
Rp
279.400
-23% | Merries Popok Bayi Good Skin Pants L28 isi 4 pcs (9-14kg) [Karton]
Rp226.600 | Merries Good Skin Pants Popok Perlengkapan Bayi XXL28 x4 (15-25kg) Isi 112 pcs [Karton]
Rp
302.100
Rp
390.200
-23%"
Infinix,Kab. Gresik,https://www.lazada.co.id/lazada6948148_infinix-127221255/?type=brand,-,3,Handphone & Aksesoris | Lainnya,"Infinix Smart 8 Pro 16+128G Garansi Resmi
Rp1.568.000 -13% | Infinix Smart 20 HP 4+64G G81 120Hz 5200mAh
Rp1.739.000 | Infinix XPAD 30E 4GB+4GB (Extended RAM) /128GB - MediaTek Helio G80 - 11"" FHD+ 60Hz - 7200 mAh - 4G LTE
Rp2.549.000"
Honda,Kab. Gresik,https://www.lazada.co.id/honda/?type=brand,-,3,Lainnya | Otomotif,"Oli Gardan Ahm Gear Oil Gir Matic Honda 120ml 1 Karton x 48 botol harga perdus
Rp524.170 -1% | OLI OIL AHM MPX 2 800ML 12 BOTOL 1/2 DUS
Rp608.235 -1% | KAMPAS REM BELAKANG TROMOL HONDA VARIO VARIO 110 125 150 BEAT FI STREET BEAT POP SCOOPY SPACY OLD NEW GENIO BEAT FI NEW LED KZL
Rp30.060 -3%"
