url_produk,nama_produk,harga,lokasi_seller,rating_produk,terjual,badge,nama_toko,url_toko,rating_toko,kategori_web,sub_kategori
https://www.tokopedia.com/mobile-apps,"Gratis Ongkir + Banyak Promo
belanja di aplikasi",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/about,Tentang Tokopedia,-,Kab. Gresik,-,-,-,-,-,-,,
https://seller.tokopedia.com/edu/topic/mulai-bisnis/materi-seller-baru,Mulai Berjualan,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/promo,promo,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/help,Tokopedia Care,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/eiger-gresik,"Eiger Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/eiger-gresik/dompet-eiger-x-florence-wallet-original-1729620235774233188,Rp 99.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/eiger-gresik/tas-eiger-tp-hzl-comp-descent-travel-pouch-1729616483929524836,Rp 309.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/eiger-gresik/tas-eiger-sender-arc-3-0-pouch-4l-original-1729616409899076196,Rp 279.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/d2-computer,"D2 Computer Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/d2-computer/set-pc-gaming-core-i7-siap-pakai-gaming-desain-editing-dan-render-1733694778913818039,Rp 7.000.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/irapriyan,"Anugrah Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/irapriyan/perdana-simpati-cantik-seri-7777xx,Rp 125.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/irapriyan/perdana-cantik-by-u-kuota-3gb-kode-a,Rp 100.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/irapriyan/perdana-telkomsel-cantik-seri-8888xx,Rp 150.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/gresikpyro,"GRESIKpyro
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/toko-murah-gresik,"Toko Murah Gresik_NEW
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/toko-murah-gresik/obeng-taspen-bolak-balik-serbaguna-1731458692036003765,Rp 1.800,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/toko-murah-gresik/steker-t-arde-light-house-lh258-ta-1731920781491144629,Rp 18.500,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/toko-murah-gresik/stop-kontak-lubang-2-broco-harga-termurah-1731472185332565941,Rp 20.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/sundra-wisata-gresik,"Sundra Wisata Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/sundra-wisata-gresik/umroh-musim-baru-2025-bersama-sundra-wisata-gresik-1731502077774169664,Rp 23.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/pancing-gresik,"pancing gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/pancing-gresik/rell-shimano-stella-sw-4000-kondisi-new-garansi-1731536351957189988,Rp 9.700.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/pancing-gresik/pancing-rell-set-iroly-shepia-sw-1731536440828986724,Rp 330.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/kedai-herbal-gresik,"Kedai Herbal Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/kedai-herbal-gresik/sunscreen-le-diamond-premium-quality-pria-wanita-1729745668152330051,Rp 55.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/kedai-herbal-gresik/sabun-wajah-dan-seluruh-tubuh-hermione-1729680327997492035,Rp 6.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/shoface-gresik,"Shoface Gresik
Surabaya
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/shoface-gresik/shoface-moist-glow-with-uv-filter-reseller-resmi-driyorejo-1731024713829680174,Rp 68.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/gudang-sarung-gresik-1,"gudang sarung gresik 1
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/gudang-sarung-gresik-1/atlas-idaman-jacquard-behaestex-motif-tenun-1729630201532286105,Rp 150.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/fatma-msi-gresik,"fatma msi gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/fatma-msi-gresik/si-hitam-bamboo-yg-bisa-bikin-kulit-kita-jd-lbh-sht-bukan-cm-kita-tp-satu-rumah-dr-mulai-dede-bayi-ampe-si-uthi2-apa-lg-si-ani-ani-1729995064419322284,Rp 50.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/fatma-msi-gresik/si-putih-sunscreen-yg-bs-bikin-kulit-wajah-glowing-dan-menyamarkan-flek2-hitam-1729560028990309804,Rp 95.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/fatma-msi-gresik/diamond-face-mist-produk-original-msi-bikin-kulit-wajah-adem-dan-lbh-glowing-1729995107753560492,Rp 95.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/isbon-gresik,"isbon gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/isbon-gresik/boneka-beruang-boneka-teddy-bear-boney-bonita-istana-boneka-gresik-1729873360292841529,Rp 229.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/isbon-gresik/istana-boneka-gresik-balmut-bantal-selimut-kucing-hitam-mono-cocok-untuk-traveling-mudah-dibawa-bahan-halus-1729876222919280697,Rp 179.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/isbon-gresik/istana-boneka-gresik-boneka-beruang-teddy-bear-jumbo-std-boney-bonita-with-syal-lembut-halus-63cm-1729873389200705593,Rp 359.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/rujak-buah-gresik,"Rujak-buah-gresik
Surabaya
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/adenium-gresik,"adenium gresik_NEW
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/adenium-gresik/plastik-polibag-ukuran-20-20-1729901867266246953,Rp 15.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/bengkel-ponsel-gresik,"Bengkel Ponsel Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/bengkel-ponsel-gresik/rainbow-hardcase-xm-rm-note-9-pro-1729646636931909924,Rp 7.000,-,Kab. Gresik,-,-,-,-,-,-,,
