kategori,sub_kategori,jumlah_produk,jumlah_toko
Lainnya,,1144,0
Kecantikan,,12,0
Fashion Wanita,,9,0
Fashion Muslim,,9,0
Makanan & Minuman,,9,0
Souvenir & Perayaan,,4,0
Buku & Alat Tulis,,4,0
Handphone & Tablet,Nomor Perdana & Voucher,3,0
Komputer & Aksesoris,,3,0
Ibu & Bayi,,3,0
Pertukangan,Perlengkapan Listrik,2,0
Olahraga,Alat Pancing,2,0
Hobi & Koleksi,,1,0
Handphone & Aksesoris,,1,0
Elektronik,,1,0
Kecantikan,Perawatan Wajah,1,0
Komputer & Laptop,Desktop & Mini PC,1,0
Kesehatan,,1,0
Perawatan Tubuh,Perlengkapan Mandi,1,0
Otomotif,,1,0
Pertukangan,Hand Tools,1,0
Rumah Tangga,,1,0
Sepatu & Sandal,,1,0
"Tiket, Travel, Voucher",Paket Tur,1,0
