Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,HFM Sport,4,2026-05-14T09:19:41.643Z,SMK terbaik di Dukupuntang..,smk terbaik di dukupuntang,smk terbaik di dukupuntang,smk terbaik dukupuntang,Lainnya,Negatif,0.9068
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,DUNIA PESANTREN CHANEL,4,2026-02-28T02:25:58.267Z,"Semoga makin sukses ya, menghasilkan lulusan lulusan yang unggul,",semoga makin sukses ya menghasilkan lulusan lulusan yang unggul,semoga makin sukses ya menghasilkan lulusan lulusan yang unggul,semoga makin sukses ya menghasilkan lulusan lulusan unggul,Lainnya,Negatif,0.9889
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,oh,1,2026-02-04T00:50:37.561Z,"anak sy kls 12 hrsnya magang,, malah pkl ulang,,😀",anak sy kls hrsnya magang malah pkl ulang,anak saya kls hrsnya magang malah pkl ulang,anak kls hrsnya magang malah pkl ulang,Lainnya,Positif,0.873
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,Saeful Rohman,5,2026-01-23T07:08:39.586Z,recomended,recomended,recomended,recomended,Lainnya,Negatif,0.9975
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,marine29,1,2025-07-14T11:23:57.539Z,Ga adil. Sakit hati banget sekolah di sini.,ga adil sakit hati banget sekolah di sini,tidak adil sakit hati banget sekolah di sini,adil sakit hati banget sekolah sini,Lainnya,Positif,0.998
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,Sell Mitaa,1,2025-07-14T11:21:54.800Z,"Kalo mau sekolah disini pikir pikir lagi, jujur kecewa banget udah berusaha mati matian belajar disini, ga pernah absen, ga pernah ga ngerjain, tugas selalu dikerjain tepat waktu tapi nilai jauh dari usaha selama ini. Ga ngerti juga kenapa, padahal di rapot ga pernah dapet nilai segitu tapi di ijazah bener bener jauh dari rata-rata, asli rasanya usaha tiga tahun disini kek ga ada harganya. Cuma buang buang duit aja. Sekali lagi, pikir dulu, kalo mau berkembang dan didukung disini bukan tempatnya, banyak sekolah lain. Bukannya sekolah ini ga bagus, cuma pribadi ini kecewa banget, demi apapun ga rela usaha tiga tahun cuma dikasih nilai demikian. Mohon maaf sebelumnya, hanya ingin menyampaikan ketidak adilan yang didapat. Awalnya dipikir sekolah ini bagus, tapi jauh deh mending ga usah dipikir. Terimakasih, semoga kedepannya jauh lebih baik lagi.",kalo mau sekolah disini pikir pikir lagi jujur kecewa banget udah berusaha mati matian belajar disini ga pernah absen ga pernah ga ngerjain tugas selalu dikerjain tepat waktu tapi nilai jauh dari usaha selama ini ga ngerti juga kenapa padahal di rapot ga pernah dapet nilai segitu tapi di ijazah bener bener jauh dari rata rata asli rasanya usaha tiga tahun disini kek ga ada harganya cuma buang buang duit aja sekali lagi pikir dulu kalo mau berkembang dan didukung disini bukan tempatnya banyak sekolah lain bukannya sekolah ini ga bagus cuma pribadi ini kecewa banget demi apapun ga rela usaha tiga tahun cuma dikasih nilai demikian mohon maaf sebelumnya hanya ingin menyampaikan ketidak adilan yang didapat awalnya dipikir sekolah ini bagus tapi jauh deh mending ga usah dipikir terimakasih semoga kedepannya jauh lebih baik lagi,kalo mau sekolah disini pikir pikir lagi jujur kecewa banget udah berusaha mati matian belajar disini tidak pernah absen tidak pernah tidak ngerjain tugas selalu dikerjain tepat waktu tapi nilai jauh dari usaha selama ini tidak ngerti juga kenapa padahal di rapot tidak pernah dapet nilai segitu tapi di ijazah bener bener jauh dari rata rata asli rasanya usaha tiga tahun disini kek tidak ada harganya cuma buang buang duit aja sekali lagi pikir dulu kalo mau berkembang dan didukung disini bukan tempatnya banyak sekolah lain bukannya sekolah ini tidak bagus cuma pribadi ini kecewa banget demi apapun tidak rela usaha tiga tahun cuma dikasih nilai demikian mohon maaf sebelumnya hanya ingin menyampaikan ketidak adilan yang didapat awalnya dipikir sekolah ini bagus tapi jauh deh mending tidak usah dipikir terimakasih semoga kedepannya jauh lebih baik lagi,kalo mau sekolah disini pikir pikir jujur kecewa banget udah berusaha mati matian belajar disini pernah absen pernah ngerjain tugas selalu dikerjain tepat waktu nilai jauh usaha selama ngerti kenapa padahal rapot pernah dapet nilai segitu ijazah bener bener jauh rata rata asli rasanya usaha tiga tahun disini kek harganya cuma buang buang duit aja pikir dulu kalo mau berkembang didukung disini bukan tempatnya banyak sekolah lain bukannya sekolah bagus cuma pribadi kecewa banget demi apapun rela usaha tiga tahun cuma dikasih nilai demikian mohon maaf sebelumnya hanya ingin menyampaikan ketidak adilan didapat awalnya dipikir sekolah bagus jauh mending usah dipikir terimakasih semoga kedepannya jauh baik,Lainnya,Positif,0.9967
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,Diorama RA,5,2024-11-20T03:13:14.206Z,"Dkv selalu di hati, banyak ilmu yg di dpat di jurusan smk manbaul ulum, khususnya dkv. Karena saya alumni jurusan itu",dkv selalu di hati banyak ilmu yg di dpat di jurusan smk manbaul ulum khususnya dkv karena saya alumni jurusan itu,dkv selalu di hati banyak ilmu yang di dpat di jurusan smk manbaul ulum khususnya dkv karena saya alumni jurusan itu,dkv selalu hati banyak ilmu dpat jurusan smk manbaul ulum khususnya dkv alumni jurusan,Lainnya,Negatif,0.9234
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,Bagong ID,1,2024-09-03T12:50:06.404Z,"sekolah terlalu formal banget, pembayaran mahal",sekolah terlalu formal banget pembayaran mahal,sekolah terlalu formal banget pembayaran mahal,sekolah terlalu formal banget pembayaran mahal,Lainnya,Positif,0.9982
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,dea,1,2024-02-23T02:18:56.241Z,"sekolah terlalu formal,ketat, jarang sekali ada event seperti sekolah lain. fasilitas kurang pembayaran besar, lampu sering mati, tidak ada lab informatika, privasi siswa gampang dibuka",sekolah terlalu formal ketat jarang sekali ada event seperti sekolah lain fasilitas kurang pembayaran besar lampu sering mati tidak ada lab informatika privasi siswa gampang dibuka,sekolah terlalu formal ketat jarang sekali ada event seperti sekolah lain fasilitas kurang pembayaran besar lampu sering mati tidak ada lab informatika privasi siswa gampang dibuka,sekolah terlalu formal ketat jarang event seperti sekolah lain fasilitas kurang pembayaran besar lampu sering mati lab informatika privasi siswa gampang dibuka,Fasilitas,Positif,0.9932
Pendidikan,Sekolah Menengah Kejuruan (SMK) Manba’ul ‘Ulum Kampus 1,4.5,123,Babas Basyirin,5,2023-08-30T01:37:57.986Z,Sekolah yang siap membekali peserta didiknya dengan akhlak yang baik dan kompeten di bidangnya masing-masing,sekolah yang siap membekali peserta didiknya dengan akhlak yang baik dan kompeten di bidangnya masing masing,sekolah yang siap membekali peserta didiknya dengan akhlak yang baik dan kompeten di bidangnya masing masing,sekolah siap membekali peserta didiknya akhlak baik kompeten bidangnya masing masing,Lainnya,Netral,0.5904
